id,job_order_id,service_id,description_of_work,estimated_duration,actual_duration,estimated_hours,actual_hours,estimated_amount,actual_amount
35,25,1,Work on Oil Change,01:03:54,02:33:00,1.98,0.93,2968.0,3814.2081704446223
3046,1740,5,Engine bay wash and basic undercarriage inspection.,00:04:49,01:27:00,1.41,0.03,1885.43,2047.177770491317
3047,1740,5,Quick oil and filter change — standard 4L synthetic oil used.,00:16:58,01:28:00,1.26,0.03,1684.09,1899.6218718493571
3048,1741,5,Windshield wiper blades replaced; washer fluid topped up.,00:13:56,01:20:00,1.64,0.05,2186.17,2526.5912337931923
3049,1741,5,Quick oil and filter change — standard 4L synthetic oil used.,00:08:40,01:05:00,1.56,0.03,2083.9,1880.3114762177274
3050,1742,5,Quick oil and filter change — standard 4L synthetic oil used.,00:12:44,01:27:00,1.10,0.05,1464.39,1606.5178888952437
3051,1742,5,Quick oil and filter change — standard 4L synthetic oil used.,00:20:46,01:11:00,1.03,0.05,1379.3,1823.6120662059006
3052,1743,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:21:26,01:51:00,2.22,0.10,2961.57,3575.52068684071
3053,1743,5,Quick oil and filter change — standard 4L synthetic oil used.,00:17:59,02:03:00,2.43,0.03,3234.08,3627.0904896550437
3054,1744,5,Tire pressure adjusted to manufacturer spec; tread depth recorded.,00:18:06,01:00:00,1.40,0.08,1861.84,2247.3855594502397
3055,1744,5,Tire rotation performed; all four corners swapped per pattern.,00:21:27,00:54:00,1.38,0.02,1833.53,2072.711862182876
3523,76,7,Describe the service...,,02:35:00,2.09,1.00,5225.48,5109.297531781053
3056,1745,5,Tire rotation performed; all four corners swapped per pattern.,00:10:00,01:02:00,0.90,0.07,1195.22,1354.2013503911764
2298,1356,1,"Major brake system overhaul: rotors, calipers, pads, and brake lines replaced.",03:35:39,04:56:00,5.00,7.03,7500.0,8805.111416477204
2410,1422,5,Tire pressure adjusted to manufacturer spec; tread depth recorded.,00:18:48,02:53:00,2.20,0.09,2927.67,3129.6124399207756
2411,1422,5,Tire pressure adjusted to manufacturer spec; tread depth recorded.,00:13:00,02:03:00,2.18,0.06,2912.94,2992.53912160136
2412,1423,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:14:01,01:36:00,1.97,0.05,2623.65,3202.070798540386
2413,1423,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:14:26,01:40:00,2.27,0.08,3033.27,4006.7346495691263
2414,1424,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:04:56,01:21:00,1.61,0.06,2146.62,2573.2428525220257
2415,1424,5,Windshield wiper blades replaced; washer fluid topped up.,00:15:33,01:24:00,1.58,0.04,2101.19,1770.6433890934363
2416,1425,5,Battery terminals cleaned and coated; voltage test passed.,00:19:50,01:49:00,1.46,0.10,1944.73,1828.291671756063
2417,1425,5,Quick oil and filter change — standard 4L synthetic oil used.,00:10:41,01:39:00,1.40,0.05,1869.28,2253.6773681977916
2418,1426,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:21:28,02:30:00,1.77,0.06,2355.79,2303.275822741647
2419,1426,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:21:59,01:14:00,1.65,0.08,2202.91,2673.2410134520933
2420,1427,5,Cabin air filter replaced; A/C evaporator spray applied.,00:17:53,01:21:00,1.22,0.02,1625.3,1780.4812108204728
2421,1427,5,Cabin air filter replaced; A/C evaporator spray applied.,00:11:52,01:41:00,1.40,0.10,1862.45,1785.2374849995253
2422,1428,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:11:45,01:16:00,1.30,0.05,1738.89,1780.7533197720606
2423,1428,5,Battery terminals cleaned and coated; voltage test passed.,00:22:14,01:23:00,1.36,0.05,1816.0,1687.6242211691147
3483,1376,7,Describe the service...,,02:43:00,1.95,1.00,4886.76,4910.3369072178775
3484,1376,5,Describe the service...,,04:24:00,3.36,1.50,4477.19,3952.0594952170345
3485,1376,1,Describe the service...,,01:49:00,2.01,1.00,3013.1,3596.500808127455
3195,1814,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:18:04,00:57:00,1.58,0.06,2111.23,2078.6106587836316
3196,1815,5,Cabin air filter replaced; A/C evaporator spray applied.,00:17:00,02:45:00,2.79,0.08,3717.95,3492.3914489717513
2424,1429,5,Windshield wiper blades replaced; washer fluid topped up.,00:20:25,03:13:00,2.94,0.04,3915.11,3685.85370832811
2425,1429,5,Windshield wiper blades replaced; washer fluid topped up.,00:20:59,02:43:00,2.85,0.09,3796.95,4537.5838293597635
2426,1430,5,Battery terminals cleaned and coated; voltage test passed.,00:15:08,03:13:00,3.13,0.06,4168.79,3950.13428606545
2427,1430,5,"All fluid levels checked and topped up: coolant, brake, power steering.",00:14:23,03:24:00,2.63,0.10,3512.37,4731.535494923904
2428,1431,5,Engine bay wash and basic undercarriage inspection.,00:20:35,03:14:00,3.29,0.09,4392.79,5643.46418128509
2429,1431,5,Battery terminals cleaned and coated; voltage test passed.,00:15:48,03:37:00,3.20,0.05,4270.31,4961.717274697221
2433,1433,5,Engine bay wash and basic undercarriage inspection.,00:10:25,01:51:00,1.64,0.09,2183.29,2010.3698713690549
2434,1434,5,Battery terminals cleaned and coated; voltage test passed.,00:13:20,02:51:00,2.61,0.08,3480.09,3985.403031736695
