id,ticket_id,user_id,vehicle_id,jo_date,date_arrived,date_promised,started_at,completed_at,released_at,estimated_duration,actual_duration,estimated_grand_total,actual_grand_total,partial_payment,balance,status,quotation_notes,quotation_approved
876,876,700,501,2020-04-16,2020-04-16 16:31:49.298791,2020-04-21 16:31:49.298791,2020-04-16 19:31:49.298791,2025-03-23 16:31:49.298791,2024-05-27 16:31:49.298791,13:51:17,16:20:44,0.00,0.00,0.00,13377.39,released,"Scenario A – high-cost, high-duration job order.",True
1376,1376,1200,1501,2019-06-23,2019-06-23 16:31:49.486015,2019-06-23 20:31:49.486015,2019-06-23 17:00:49.486015,2026-06-30 16:31:49.486015,2026-06-17 16:31:49.486015,00:01:49,00:08:11,6552.27,6000.00,178.18,488.93,released,"Scenario B – low-cost, quick-service job order.",True
840,840,678,479,2026-02-09,2026-02-09 11:02:12,2026-02-09 11:02:12,2026-02-10 11:02:12,2026-02-10 11:02:12,2026-02-10 11:02:12,02:00:00,02:00:00,0.00,0.00,0.00,2375.65,completed,Generated by seed,True
900,900,724,525,2017-11-25,2017-11-25 16:31:49.298791,2017-11-30 16:31:49.298791,2017-11-25 19:31:49.298791,2023-09-24 16:31:49.298791,2024-05-05 16:31:49.298791,13:03:50,22:38:28,0.00,0.00,0.00,11650.43,released,"Scenario A – high-cost, high-duration job order.",True
668,668,573,374,2026-02-25,2026-02-25 17:03:35,2026-02-25 17:03:35,2026-02-26 17:03:35,2026-02-26 17:03:35,2026-02-26 17:03:35,02:00:00,02:00:00,0.00,0.00,0.00,11033.34,completed,Generated by seed,True
1668,1668,1492,2085,2025-08-21,2025-08-21 16:31:49.486015,2025-08-21 20:31:49.486015,2025-08-21 16:43:49.486015,2026-07-09 16:31:49.486015,2026-06-17 16:31:49.486015,00:02:47,00:05:38,0.00,0.00,0.00,628.97,released,"Scenario B – low-cost, quick-service job order.",True
322,322,373,174,2026-01-28,2026-01-28 20:04:48,2026-01-28 20:04:48,2026-01-29 20:04:48,2026-01-29 20:04:48,2026-01-29 20:04:48,02:00:00,02:00:00,0.00,0.00,0.00,6397.39,completed,Generated by seed,True
950,950,774,575,2023-01-30,2023-01-30 16:31:49.298791,2023-02-04 16:31:49.298791,2023-01-30 18:31:49.298791,2024-02-26 16:31:49.298791,2025-09-21 16:31:49.298791,23:11:48,06:01:36,0.00,0.00,7221.67,4322.36,released,"Scenario A – high-cost, high-duration job order.",True
1178,1178,1002,803,2017-02-24,2017-02-24 16:31:49.298791,2017-03-01 16:31:49.298791,2017-02-24 19:31:49.298791,2023-06-06 16:31:49.298791,2025-05-09 16:31:49.298791,21:46:14,14:17:03,0.00,0.00,11503.49,2700.58,released,"Scenario A – high-cost, high-duration job order.",True
1100,1100,924,725,2022-10-31,2022-10-31 16:31:49.298791,2022-11-05 16:31:49.298791,2022-10-31 19:31:49.298791,2025-03-13 16:31:49.298791,2024-02-01 16:31:49.298791,16:55:43,21:16:43,0.00,0.00,5536.52,7939.56,released,"Scenario A – high-cost, high-duration job order.",True
474,474,462,263,2026-01-27,2026-01-27 10:58:02,2026-01-27 10:58:02,2026-01-28 10:58:02,2026-01-28 10:58:02,2026-01-28 10:58:02,02:00:00,02:00:00,0.00,0.00,0.00,5121.09,completed,Generated by seed,True
76,76,239,40,2026-01-19,2026-01-19 15:47:46,2026-01-19 15:47:46,2026-01-20 15:47:46,2026-01-20 15:47:46,2026-01-20 15:47:46,02:00:00,02:00:00,0.00,0.00,0.00,2955.57,completed,Generated by seed,True
2,2,200,1,2026-03-21,2026-03-21 21:11:49,2026-03-21 21:11:49,2026-03-22 21:11:49,2026-03-22 21:11:49,2026-03-22 21:11:49,02:00:00,02:00:00,0.00,0.00,0.00,813.42,in_progress,Generated by seed,True
3,3,201,2,2026-02-25,2026-02-25 11:10:22,2026-02-25 11:10:22,2026-02-26 11:10:22,2026-02-26 11:10:22,2026-02-26 11:10:22,02:00:00,02:00:00,0.00,0.00,0.00,1429.00,in_progress,Generated by seed,True
1,1,200,1,2026-02-11,2026-02-11 18:52:15,2026-02-11 18:52:15,2026-02-12 18:52:15,2026-02-12 18:52:15,2026-02-12 18:52:15,02:00:00,02:00:00,0.00,0.00,0.00,735.44,completed,Generated by seed,True
4,4,202,3,2026-02-12,2026-02-12 18:45:05,2026-02-12 18:45:05,2026-02-13 18:45:05,2026-02-13 18:45:05,2026-02-13 18:45:05,02:00:00,02:00:00,5235.25,6294.33,0.00,6294.33,completed,Generated by seed,True
5,5,202,3,2026-02-17,2026-02-17 12:25:32,2026-02-17 12:25:32,2026-02-18 12:25:32,2026-02-18 12:25:32,2026-02-18 12:25:32,02:00:00,02:00:00,1181.55,1247.52,0.00,1247.52,completed,Generated by seed,True
6,6,202,3,2026-04-18,2026-04-18 05:25:20,2026-04-18 05:25:20,2026-04-19 05:25:20,2026-04-19 05:25:20,2026-04-19 05:25:20,02:00:00,02:00:00,1306.39,1207.84,0.00,1207.84,in_progress,Generated by seed,True
7,7,203,4,2026-01-23,2026-01-23 09:37:09,2026-01-23 09:37:09,2026-01-24 09:37:09,2026-01-24 09:37:09,2026-01-24 09:37:09,02:00:00,02:00:00,752.97,872.95,0.00,872.95,completed,Generated by seed,True
8,8,203,4,2026-03-21,2026-03-21 01:31:50,2026-03-21 01:31:50,2026-03-22 01:31:50,2026-03-22 01:31:50,2026-03-22 01:31:50,02:00:00,02:00:00,1145.78,1123.73,0.00,1123.73,in_progress,Generated by seed,True
9,9,204,5,2026-01-29,2026-01-29 08:13:41,2026-01-29 08:13:41,2026-01-30 08:13:41,2026-01-30 08:13:41,2026-01-30 08:13:41,02:00:00,02:00:00,6120.24,6005.70,0.00,6005.70,in_progress,Generated by seed,True
10,10,205,6,2026-03-08,2026-03-08 03:08:47,2026-03-08 03:08:47,2026-03-09 03:08:47,2026-03-09 03:08:47,2026-03-09 03:08:47,02:00:00,02:00:00,1489.13,1693.74,0.00,1693.74,in_progress,Generated by seed,True
11,11,206,7,2026-02-19,2026-02-19 07:53:46,2026-02-19 07:53:46,2026-02-20 07:53:46,2026-02-20 07:53:46,2026-02-20 07:53:46,02:00:00,02:00:00,1231.72,1140.23,0.00,1140.23,completed,Generated by seed,True
12,12,206,7,2026-02-24,2026-02-24 06:04:06,2026-02-24 06:04:06,2026-02-25 06:04:06,2026-02-25 06:04:06,2026-02-25 06:04:06,02:00:00,02:00:00,864.77,903.75,0.00,903.75,completed,Generated by seed,True
