id,user_id,vin,plate_number,vehicle_model,vehicle_year,mileage,vehicle_type
1,200,VIN00000000000001,ABC0001,Toyota Corolla,2019,24431.00,Van
2,201,VIN00000000000002,ABC0002,Suzuki Swift,2017,18001.00,Pickup
3,202,VIN00000000000003,ABC0003,Nissan Navara,2020,32995.00,Hatchback
4,203,VIN00000000000004,ABC0004,Ford Ranger,2020,19899.00,Hatchback
5,204,VIN00000000000005,ABC0005,Honda Civic,2024,47839.00,Crossover
6,205,VIN00000000000006,ABC0006,Honda Civic,2022,52516.00,Crossover
7,206,VIN00000000000007,ABC0007,Hyundai Accent,2020,54139.00,Sedan
8,207,VIN00000000000008,ABC0008,Mitsubishi Montero,2022,37055.00,Van
9,208,VIN00000000000009,ABC0009,Ford Ranger,2018,44306.00,Van
10,209,VIN00000000000010,ABC0010,Mitsubishi Montero,2020,16832.00,Pickup
11,210,VIN00000000000011,ABC0011,Ford Ranger,2020,17681.00,Van
12,211,VIN00000000000012,ABC0012,Hyundai Accent,2020,33649.00,Pickup
13,212,VIN00000000000013,ABC0013,Nissan Navara,2022,21017.00,Pickup
14,213,VIN00000000000014,ABC0014,Honda Civic,2020,23216.00,Sedan
15,214,VIN00000000000015,ABC0015,Ford Ranger,2023,24656.00,Van
16,215,VIN00000000000016,ABC0016,Hyundai Accent,2019,11822.00,SUV
17,216,VIN00000000000017,ABC0017,Ford Ranger,2020,22010.00,SUV
18,217,VIN00000000000018,ABC0018,Nissan Navara,2022,54052.00,Pickup
19,218,VIN00000000000019,ABC0019,Nissan Navara,2021,52191.00,Sedan
20,219,VIN00000000000020,ABC0020,Nissan Navara,2020,9344.00,Van
21,220,VIN00000000000021,ABC0021,Hyundai Accent,2018,41016.00,Hatchback
22,221,VIN00000000000022,ABC0022,Honda Civic,2020,33660.00,Hatchback
23,222,VIN00000000000023,ABC0023,Toyota Corolla,2019,17359.00,SUV
24,223,VIN00000000000024,ABC0024,Toyota Corolla,2017,10179.00,Van
25,224,VIN00000000000025,ABC0025,Ford Ranger,2020,44207.00,Van
26,225,VIN00000000000026,ABC0026,Ford Ranger,2020,44826.00,Crossover
27,226,VIN00000000000027,ABC0027,Toyota Corolla,2020,47133.00,Sedan
28,227,VIN00000000000028,ABC0028,Hyundai Accent,2023,47965.00,Sedan
29,228,VIN00000000000029,ABC0029,Hyundai Accent,2020,7934.00,Pickup
30,229,VIN00000000000030,ABC0030,Suzuki Swift,2020,36484.00,Crossover
31,230,VIN00000000000031,ABC0031,Ford Ranger,2020,45769.00,Pickup
32,231,VIN00000000000032,ABC0032,Honda Civic,2020,37716.00,Crossover
33,232,VIN00000000000033,ABC0033,Suzuki Swift,2020,53539.00,Pickup
34,233,VIN00000000000034,ABC0034,Honda Civic,2019,5967.00,Crossover
35,234,VIN00000000000035,ABC0035,Mitsubishi Montero,2021,37205.00,Pickup
36,235,VIN00000000000036,ABC0036,Honda Civic,2021,10471.00,SUV
37,236,VIN00000000000037,ABC0037,Suzuki Swift,2020,18488.00,Van
38,237,VIN00000000000038,ABC0038,Honda Civic,2020,17906.00,Van
39,238,VIN00000000000039,ABC0039,Suzuki Swift,2020,40071.00,Van
40,239,VIN00000000000040,ABC0040,Honda Civic,2021,30396.00,Pickup
41,240,VIN00000000000041,ABC0041,Honda Civic,2020,54010.00,Pickup
42,241,VIN00000000000042,ABC0042,Suzuki Swift,2023,48014.00,Sedan
43,242,VIN00000000000043,ABC0043,Mitsubishi Montero,2020,14967.00,Sedan
44,243,VIN00000000000044,ABC0044,Honda Civic,2020,51876.00,Crossover
45,244,VIN00000000000045,ABC0045,Ford Ranger,2021,10335.00,Sedan
46,245,VIN00000000000046,ABC0046,Toyota Corolla,2017,20009.00,Hatchback
47,246,VIN00000000000047,ABC0047,Honda Civic,2017,9277.00,Hatchback
48,247,VIN00000000000048,ABC0048,Ford Ranger,2020,36588.00,Van
49,248,VIN00000000000049,ABC0049,Hyundai Accent,2022,19135.00,Hatchback
50,249,VIN00000000000050,ABC0050,Honda Civic,2020,18758.00,Hatchback
51,250,VIN00000000000051,ABC0051,Ford Ranger,2020,28453.00,Sedan
52,251,VIN00000000000052,ABC0052,Toyota Corolla,2020,54592.00,Sedan
53,252,VIN00000000000053,ABC0053,Mitsubishi Montero,2021,29661.00,SUV
54,253,VIN00000000000054,ABC0054,Nissan Navara,2020,36546.00,Sedan
55,254,VIN00000000000055,ABC0055,Suzuki Swift,2020,53253.00,Sedan
56,255,VIN00000000000056,ABC0056,Nissan Navara,2020,24039.00,Hatchback
57,256,VIN00000000000057,ABC0057,Toyota Corolla,2020,9803.00,Pickup
58,257,VIN00000000000058,ABC0058,Mitsubishi Montero,2018,51590.00,Crossover
59,258,VIN00000000000059,ABC0059,Ford Ranger,2020,37961.00,Crossover
60,259,VIN00000000000060,ABC0060,Honda Civic,2020,12996.00,Sedan
61,260,VIN00000000000061,ABC0061,Nissan Navara,2023,38699.00,Van
62,261,VIN00000000000062,ABC0062,Honda Civic,2020,11000.00,Sedan
63,262,VIN00000000000063,ABC0063,Mitsubishi Montero,2020,35915.00,Sedan
64,263,VIN00000000000064,ABC0064,Honda Civic,2020,14251.00,Sedan
65,264,VIN00000000000065,ABC0065,Honda Civic,2020,31479.00,Crossover
66,265,VIN00000000000066,ABC0066,Mitsubishi Montero,2020,14193.00,Sedan
67,266,VIN00000000000067,ABC0067,Mitsubishi Montero,2024,29469.00,Hatchback
