part_name,category,has_tiers,tier_type,original_median_price,original_min,original_max,replacement_median_price,replacement_min,replacement_max,price_ratio_replacement_pct,standard_price,typical_quantity,unit
"Clutch Disc","Transmission",True,"dual_tier",5200,4500,6200,2800,2200,3400,53.8,,1,"pc"
"Pressure Plate","Transmission",True,"dual_tier",4800,4200,5600,3800,3000,4200,79.2,,1,"pc"
"Release Bearing","Transmission",True,"dual_tier",1800,1400,2200,950,750,1200,52.8,,1,"pc"
"Evaporator","Climate Control",True,"dual_tier",7500,6500,9500,4200,3600,5200,56.0,,1,"pc"
"Compressor","Climate Control",True,"dual_tier",18500,15000,24000,11500,9500,13500,62.2,,1,"pc"
"Drier","Climate Control",True,"dual_tier",1450,1100,1800,850,650,1100,58.6,,1,"pc"
"Air Filter","Filters",True,"dual_tier",2200,1700,2800,650,450,850,29.5,,1,"pc"
"Oil Filter","Filters",True,"dual_tier",700,550,950,350,250,450,50.0,,1,"pc"
"Cabin Filter","Filters",True,"dual_tier",1200,900,1600,450,350,600,37.5,,1,"pc"
"Fuel Filter","Filters",True,"dual_tier",1800,1300,2400,600,450,800,33.3,,1,"pc"
"Valve Cover Gasket","Engine",True,"dual_tier",1400,1100,1800,550,400,750,39.3,,1,"pc"
"Crankshaft Oil Seal","Engine",True,"dual_tier",2400,1800,3000,1500,1100,1900,62.5,,1,"pc"
"Overhauling Gasket Set","Engine",True,"dual_tier",6500,5000,8500,4200,3200,5200,64.6,,1,"set"
"Brake Pads","Braking",True,"dual_tier",3200,2600,4200,1500,1100,1900,46.9,,1,"set"
"Brake Shoe","Braking",True,"dual_tier",2600,2100,3400,1250,950,1600,48.1,,1,"set"
"Wheel Cylinder","Braking",True,"dual_tier",1650,1300,2100,950,700,1200,57.6,,2,"pc"
"Shock Absorber","Steering & Suspension",True,"dual_tier",4500,3600,5800,2200,1700,2800,48.9,,2,"pc"
"Tie Rod End","Steering & Suspension",True,"dual_tier",2200,1700,2800,1150,850,1450,52.3,,2,"pc"
"Suspension Bushing","Steering & Suspension",True,"dual_tier",1200,950,1600,650,450,850,54.2,,4,"pc"
"Stab Link","Steering & Suspension",True,"dual_tier",1950,1500,2500,1200,900,1500,61.5,,2,"pc"
"Shock Mounting","Steering & Suspension",True,"dual_tier",2100,1600,2700,1100,800,1400,52.4,,2,"pc"
"Fan Belt","Engine",True,"dual_tier",2800,2200,3600,1800,1300,2300,64.3,,1,"pc"
"Spark Plug","Ignition & Electrical",True,"dual_tier",650,500,900,350,250,450,53.8,,4,"pc"
"Engine Oil","Fluids & Consumables",False,"standard_consumable",,,,,,,100.0,450,4,"liter"
"Brake Cleaner","Fluids & Consumables",False,"standard_consumable",,,,,,,100.0,250,1,"can"
"Brake Fluid","Fluids & Consumables",False,"standard_consumable",,,,,,,100.0,300,1,"bottle"
"RTV Silicone","Fluids & Consumables",False,"standard_consumable",,,,,,,100.0,250,1,"tube"
"Engine Coolant","Fluids & Consumables",False,"standard_consumable",,,,,,,100.0,350,2,"liter"
"Automatic Transmission Fluid (ATF)","Fluids & Consumables",False,"standard_consumable",,,,,,,100.0,500,4,"liter"
"Freon (R134a)","Fluids & Consumables",False,"standard_consumable",,,,,,,100.0,450,1,"can"
