job_order_id,source_file,is_synthetic,make,model,year,services_count,parts_count,service_subtotal,part_subtotal,grand_total
1,001.jpg,False,UNASSIGNED,UNASSIGNED,,2,4,12000.00,21750.00,33750.00
2,002.jpg,False,Hyundai,Accent,2009,1,3,4000.00,8900.00,12900.00
3,003.jpg,False,Honda,CRV GEN 02,M09,1,0,1800.00,0.00,1800.00
4,005.jpg,False,Toyota,Innova,,0,5,0.00,21650.00,21650.00
5,006.jpg,False,UNASSIGNED,UNASSIGNED,,4,6,17800.00,10270.00,28070.00
6,007.jpg,False,UNASSIGNED,UNASSIGNED,,3,1,7000.00,250.00,7250.00
7,008.jpg,False,Toyota,VIOS,2015,2,2,28200.00,92600.00,120800.00
8,011.jpg,False,UNASSIGNED,UNASSIGNED,,2,2,12300.00,3200.00,15500.00
9,012.jpg,False,UNASSIGNED,UNASSIGNED,,1,1,1000.00,6800.00,7800.00
10,013.jpg,False,,Tucson,2006,1,10,7500.00,19250.00,26750.00
11,014.jpg,False,,L300,2018,1,5,3500.00,9600.00,13100.00
12,016.jpg,False,UNASSIGNED,UNASSIGNED,,1,4,3500.00,9350.00,12850.00
13,017.jpg,False,Toyota,Altis,2016,3,0,3650.00,0.00,3650.00
14,018.jpg,False,Toyota,ALTIS,2016,4,7,5450.00,8100.00,13550.00
15,019.jpg,False,,TUCSON,2008,1,7,7500.00,13000.00,20500.00
16,020.jpg,False,Mitsubishi,L300,2018,1,5,3500.00,15300.00,18800.00
17,021.jpg,False,Toyota,Vios,2010,1,2,650.00,1950.00,2600.00
18,022.jpg,False,,Rav4 D4D,,9,14,13150.00,19400.00,32550.00
19,025.jpg,False,UNASSIGNED,UNASSIGNED,,3,5,6400.00,11250.00,17650.00
20,026.jpg,False,Toyota,VIOS,,3,3,3000.00,10000.00,13000.00
21,027.jpg,False,UNASSIGNED,UNASSIGNED,,0,5,0.00,4150.00,4150.00
22,028.jpg,False,Toyota,Innova,2018,0,4,0.00,11100.00,11100.00
23,029.jpg,False,Toyota,Innova,2016,2,6,18800.00,14900.00,33700.00
24,030.jpg,False,Mitsubishi,Montero,2009,9,15,13450.00,21600.00,35050.00
25,031.jpg,False,UNASSIGNED,UNASSIGNED,,2,4,15500.00,7270.00,22770.00
26,033.jpg,False,UNASSIGNED,UNASSIGNED,,3,1,2800.00,3500.00,6300.00
27,035.jpg,False,Toyota,Fortuner,2011,4,12,10650.00,29200.00,39850.00
28,036.jpg,False,Toyota,AVANZA,2015,3,0,3200.00,0.00,3200.00
29,037.jpg,False,UNASSIGNED,UNASSIGNED,,5,7,4250.00,7900.00,12150.00
30,038.jpg,False,UNASSIGNED,UNASSIGNED,,4,8,4150.00,12650.00,16800.00
31,039.jpg,False,Honda,Civic,2000,3,3,2100.00,4500.00,6600.00
32,040.jpg,False,UNASSIGNED,UNASSIGNED,,4,7,6750.00,8150.00,14900.00
33,041.jpg,False,Honda,FC,2019,2,3,1800.00,16800.00,18600.00
34,042.jpg,False,UNASSIGNED,UNASSIGNED,,5,1,2000.00,1120.00,3120.00
35,043.jpg,False,Nissan,XTrail,2005,1,4,4500.00,33300.00,37800.00
36,044.jpg,False,UNASSIGNED,UNASSIGNED,,4,7,5800.00,5600.00,11400.00
37,045.jpg,False,UNASSIGNED,UNASSIGNED,,4,5,5700.00,10540.00,16240.00
38,046.jpg,False,Subaru,,2011,1,5,12000.00,16900.00,28900.00
39,047.jpg,False,Chevrolet,Trax,2017,0,4,0.00,6200.00,6200.00
40,050.jpg,False,UNASSIGNED,UNASSIGNED,,2,2,1200.00,1700.00,2900.00
41,052.jpg,False,UNASSIGNED,UNASSIGNED,,3,0,8500.00,0.00,8500.00
42,053.jpg,False,Toyota,Vios,2021,1,1,1500.00,3500.00,5000.00
43,055.jpg,False,UNASSIGNED,UNASSIGNED,,1,5,4000.00,17400.00,21400.00
44,056.jpg,False,UNASSIGNED,UNASSIGNED,,3,2,6700.00,2440.00,9140.00
45,057.jpg,False,Hyundai,STAREX,2014,1,4,2800.00,11050.00,13850.00
46,058.jpg,False,UNASSIGNED,UNASSIGNED,,1,3,1200.00,2550.00,3750.00
47,059.jpg,False,UNASSIGNED,UNASSIGNED,,3,3,4400.00,10200.00,14600.00
48,060.jpg,False,Nissan,Xtrail,2025,1,5,4500.00,11600.00,16100.00
49,061.jpg,False,UNASSIGNED,UNASSIGNED,,4,12,6050.00,19300.00,25350.00
50,062.jpg,False,Toyota,Fortuner,2010,6,8,11600.00,17500.00,29100.00
51,064.jpg,False,UNASSIGNED,UNASSIGNED,,5,0,10900.00,0.00,10900.00
52,066.jpg,False,Isuzu,D-Max,2017,12,5,48500.00,6800.00,55300.00
53,067.jpg,False,UNASSIGNED,UNASSIGNED,,7,11,6500.00,12800.00,19300.00
54,068.jpg,False,Mitsubishi,Mirage,2014,3,10,4200.00,22550.00,26750.00
55,069.jpg,False,UNASSIGNED,UNASSIGNED,,4,4,2450.00,2750.00,5200.00
56,070.jpg,False,Hyundai,Starex,2017,7,11,16150.00,14300.00,30450.00
57,071.jpg,False,UNASSIGNED,UNASSIGNED,,1,2,4000.00,68600.00,72600.00
58,072.jpg,False,UNASSIGNED,UNASSIGNED,,2,3,2500.00,9650.00,12150.00
59,073.jpg,False,Suzuki,F6,,0,4,0.00,4100.00,4100.00
60,074.jpg,False,Mitsubishi,Mirage,,2,4,8000.00,2750.00,10750.00
61,078.jpg,False,Mitsubishi,Montero,,5,7,7550.00,19650.00,27200.00
62,079.jpg,False,UNASSIGNED,UNASSIGNED,,5,4,4700.00,10100.00,14800.00
63,080.jpg,False,UNASSIGNED,UNASSIGNED,,0,4,0.00,6200.00,6200.00
64,081.jpg,False,FORD,ESCAPE,2016,6,0,26600.00,0.00,26600.00
65,082.jpg,False,Toyota,Corolla,,1,3,1800.00,6850.00,8650.00
66,083.jpg,False,Toyota,Vios,,4,8,3400.00,6450.00,9850.00
67,084.jpg,False,Toyota,Fortuner,,0,10,0.00,20350.00,20350.00
68,086.jpg,False,UNASSIGNED,UNASSIGNED,,4,7,5900.00,9150.00,15050.00
69,090.jpg,False,Toyota,Vios,2014,2,2,10000.00,1600.00,11600.00
70,091.jpg,False,Mazda,CX9,2018,4,4,7700.00,28000.00,35700.00
71,092.jpg,False,Toyota,VIOS,2014,0,2,0.00,1750.00,1750.00
72,094.jpg,False,Toyota,VIOS,2011,5,2,16100.00,8500.00,24600.00
73,096.jpg,False,UNASSIGNED,UNASSIGNED,,1,4,12000.00,11550.00,23550.00
74,097.jpg,False,Mitsubishi,Mirage,2014,5,7,5000.00,7300.00,12300.00
75,100.jpg,False,UNASSIGNED,UNASSIGNED,,0,12,0.00,13450.00,13450.00
76,105.jpg,False,Kia,K2700,2009,5,0,10350.00,0.00,10350.00
77,106.jpg,False,UNASSIGNED,UNASSIGNED,,0,4,0.00,3300.00,3300.00
78,107.jpg,False,UNASSIGNED,UNASSIGNED,,1,0,25000.00,0.00,25000.00
79,108.jpg,False,UNASSIGNED,UNASSIGNED,,2,10,800.00,13600.00,14400.00
80,109.jpg,False,Toyota,Fortuner,,6,8,12400.00,9650.00,22050.00
81,110.jpg,False,Toyota,Hiace,,1,5,6500.00,12550.00,19050.00
82,111.jpg,False,Toyota,Innova,2018,5,8,4900.00,11100.00,16000.00
83,112.jpg,False,Toyota,Vios,,1,2,3500.00,1750.00,5250.00
84,117.jpg,False,Mitsubishi,Mirage,2017,5,0,4900.00,0.00,4900.00
85,118.jpg,False,Toyota,Avanza,2021,0,3,0.00,3650.00,3650.00
86,119.jpg,False,SUZUKI,,,3,3,2150.00,4200.00,6350.00
87,120.jpg,False,Toyota,Avanza,2024,4,6,2650.00,5300.00,7950.00
88,121.jpg,False,Toyota,Avanza,2024,4,6,2650.00,6800.00,9450.00
89,122.jpg,False,Toyota,Vios,2015,1,0,8000.00,0.00,8000.00
90,123.jpg,False,UNASSIGNED,UNASSIGNED,,1,14,4500.00,24850.00,29350.00
91,124.jpg,False,UNASSIGNED,UNASSIGNED,,2,5,2000.00,7000.00,9000.00
92,126.jpg,False,Ford,Ecosport,2016,8,13,10850.00,21850.00,32700.00
93,127.jpg,False,Isuzu,Travis,,2,5,2000.00,6450.00,8450.00
94,128.jpg,False,Mitsubushi,Mirage,,2,3,5000.00,14800.00,19800.00
95,130.jpg,False,UNASSIGNED,UNASSIGNED,,1,1,3500.00,650.00,4150.00
96,131.jpg,False,Honda,Civic,,1,2,3500.00,4700.00,8200.00
97,133.jpg,False,Mitsubishi,Montero,,5,7,7550.00,18650.00,26200.00
98,134.jpg,False,Mitsubishi,Mirage,2016,2,6,2750.00,10250.00,13000.00
99,135.jpg,False,Toyota,Corolla,,1,7,8000.00,9300.00,17300.00
100,136.jpg,False,Toyota,Vios,2006,4,4,4900.00,10300.00,15200.00
101,137.jpg,False,Honda,CRV,,6,6,6200.00,11800.00,18000.00
102,139.jpg,False,UNASSIGNED,UNASSIGNED,,2,1,2350.00,1050.00,3400.00
103,140.jpg,False,UNASSIGNED,UNASSIGNED,,2,1,2350.00,1050.00,3400.00
104,141.jpg,False,Toyota,Vios,2018,1,1,3500.00,9000.00,12500.00
105,142.jpg,False,Toyota,Vios,2018,2,1,8000.00,9000.00,17000.00
106,143.jpg,False,UNASSIGNED,UNASSIGNED,,1,0,650.00,0.00,650.00
107,144.jpg,False,UNASSIGNED,UNASSIGNED,,2,2,7000.00,13500.00,20500.00
108,145.jpg,False,UNASSIGNED,UNASSIGNED,,4,7,2600.00,21600.00,24200.00
109,146.jpg,False,hyundai,Starex,,2,2,3000.00,5200.00,8200.00
110,147.jpg,False,isuzu,MU-X,2023,2,4,2150.00,6600.00,8750.00
111,148.jpg,False,UNASSIGNED,UNASSIGNED,,0,2,0.00,11000.00,11000.00
112,149.jpg,False,Nissan,Navara,2018,2,2,9000.00,56200.00,65200.00
113,151.jpg,False,Toyota,Hiace,,0,1,0.00,2800.00,2800.00
114,152.jpg,False,Honda,CRV,,2,0,1450.00,0.00,1450.00
115,153.jpg,False,Hyundai,Starex,2019,3,6,2350.00,7150.00,9500.00
116,154.jpg,False,UNASSIGNED,UNASSIGNED,,5,0,12200.00,0.00,12200.00
117,156.jpg,False,Nissan,XTRAIL,,4,7,2950.00,5900.00,8850.00
118,157.jpg,False,Nissan,Xtrail,,4,9,2950.00,7750.00,10700.00
119,158.jpg,False,UNASSIGNED,UNASSIGNED,,0,3,0.00,2500.00,2500.00
120,159.jpg,False,Toyota,Hiace,2018,9,11,12900.00,19050.00,31950.00
121,160.jpg,False,Isuzu,MUX,2023,1,2,650.00,800.00,1450.00
122,161.jpg,False,Toyota,Hiace,2018,10,12,13750.00,20280.00,34030.00
123,162.jpg,False,Toyota,Avanza,2011,1,1,1500.00,2800.00,4300.00
124,163.jpg,False,Hyundai,Porter,2022,2,5,2450.00,10650.00,13100.00
125,164.jpg,False,Toyota,Hiace,2018,9,11,13750.00,17880.00,31630.00
126,165.jpg,False,Hyundai,Porter,2022,2,5,2450.00,10650.00,13100.00
127,166.jpg,False,Toyota,Innova,2018,4,7,2800.00,7250.00,10050.00
128,167.jpg,False,Subaru,,2014,3,4,2900.00,11950.00,14850.00
129,169.jpg,False,Subaru,,2011,6,8,6550.00,44200.00,50750.00
130,170.jpg,False,UNASSIGNED,UNASSIGNED,,4,6,51850.00,3950.00,55800.00
131,171.jpg,False,UNASSIGNED,UNASSIGNED,,3,5,10800.00,10100.00,20900.00
132,172.jpg,False,UNASSIGNED,UNASSIGNED,,3,5,6350.00,8000.00,14350.00
133,173.jpg,False,Toyota,Vios,2006,2,1,1700.00,4400.00,6100.00
134,174.jpg,False,Toyota,Avanza,2014,4,6,2600.00,6300.00,8900.00
135,175.jpg,False,Toyota,Hiace,,1,5,8500.00,90700.00,99200.00
136,177.jpg,False,UNASSIGNED,UNASSIGNED,,3,6,2200.00,6650.00,8850.00
137,178.jpg,False,UNASSIGNED,UNASSIGNED,,2,12,60000.00,22650.00,82650.00
