service_id,service_name,base_price,base_duration_hours,is_price_fixed,vehicle_type,vehicle_age,mileage,estimated_duration_mins,actual_duration_mins,actual_amount,is_churned,vehicle_type_encoded,predicted_duration_mins,predicted_amount
36,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Sedan,6,88348.2,276.3,294.3,6525.0,1,4,322.8309999999998,6033.0
54,General Engine Overhaul,22000.0,24.0,0,Sedan,6,71499.0,1492.7,2312.8,37200.0,1,4,2119.4459999999985,37652.25
36,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Sedan,17,213008.6,279.0,418.5,5800.0,1,4,437.0800000000001,6169.25
36,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Sedan,6,75356.9,270.7,258.4,1650.0,0,4,282.9710000000004,2814.0
53,Top Overhaul,15000.0,14.0,0,Sedan,6,83497.9,822.5,936.4,11900.0,0,4,957.223999999999,11815.0
35,Power Steering Pump Overhaul / Replacement,1800.0,2.0,0,Sedan,6,88440.0,120.2,140.3,1750.0,0,4,139.51799999999994,1958.5
18,Wheel Alignment,900.0,1.0,1,Sedan,6,83797.9,57.4,55.8,925.0,0,4,55.975000000000094,922.75
26,Overhaul / Replace Steering Rack & Pinion,4500.0,4.0,0,Sedan,6,78239.2,238.6,301.3,4150.0,0,4,298.9859999999997,4628.5
49,Replace Timing Belt / Chain,3500.0,4.0,0,Sedan,6,79646.5,234.2,243.0,3875.0,0,4,259.76399999999995,4655.0
22,Replace Suspension Bushing,1500.0,2.5,0,Sedan,6,86588.9,145.3,203.1,2125.0,1,4,201.98,2011.25
21,Replace Shock Absorbers,1200.0,2.0,1,Sedan,6,71671.6,114.5,107.5,1150.0,0,4,108.525,1165.75
37,Air Conditioning Cleaning & Freon Charge,3500.0,3.0,0,Sedan,11,149712.9,177.4,262.8,9275.0,1,4,240.3389999999997,7209.75
58,General Mechanical Inspection & Check-Up,800.0,0.5,1,Sedan,11,143629.2,28.7,30.6,825.0,1,4,29.740999999999982,814.25
58,General Mechanical Inspection & Check-Up,800.0,0.5,1,Sedan,6,94522.7,28.7,27.3,800.0,0,4,28.08700000000001,798.25
46,Starter Motor Repair / Replacement,2050.0,1.5,0,Sedan,6,95817.4,88.5,109.1,2475.0,1,4,112.25400000000009,2457.5
40,Radiator Replacement / Repair,1500.0,1.5,0,Sedan,6,84289.3,91.2,114.2,1325.0,0,4,111.92800000000013,1490.25
58,General Mechanical Inspection & Check-Up,800.0,0.5,1,SUV,20,253839.7,30.8,35.1,800.0,1,3,33.685999999999964,795.0
