service_id,service_name,base_price,base_duration_hours,is_price_fixed,vehicle_type,vehicle_age,mileage,estimated_duration_mins,actual_duration_mins,actual_amount,is_churned,vehicle_type_encoded,predicted_duration_mins
11,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Sedan,6,88348.2,276.3,294.3,6525.0,1,4,323.4859999999997
11,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Sedan,6,71499.0,279.9,433.7,6850.0,1,4,395.75199999999995
11,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Sedan,17,213008.6,279.0,418.5,3950.0,1,4,449.263
18,Replace Engine Support,1200.0,1.5,0,Sedan,6,75356.9,90.2,86.1,1775.0,1,4,98.43200000000017
15,Top Overhaul,15000.0,14.0,0,Sedan,6,83497.9,822.5,936.4,9525.0,0,4,961.4599999999991
11,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Sedan,6,88440.0,270.4,315.6,1600.0,0,4,328.22799999999984
4,Wheel Alignment,800.0,1.0,1,Sedan,6,83797.9,57.4,55.8,850.0,0,4,56.249000000000095
11,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Sedan,6,78239.2,268.4,338.9,3225.0,0,4,336.1700000000004
10,Replace Valve Cover Gasket,1400.0,1.75,0,Sedan,6,79646.5,102.5,106.3,1650.0,0,4,111.40199999999996
2,Brake Service,800.0,1.25,1,Sedan,6,86588.9,72.6,78.3,800.0,0,4,78.06800000000008
17,Replace Shock Absorbers,1500.0,2.0,1,Sedan,6,71671.6,114.5,107.5,1375.0,0,4,108.29900000000002
2,Brake Service,800.0,1.25,1,Sedan,11,149712.9,73.9,77.4,6375.0,1,4,77.5379999999999
2,Brake Service,800.0,1.25,1,Sedan,11,143629.2,71.8,76.6,22150.0,1,4,74.50000000000009
2,Brake Service,800.0,1.25,1,Sedan,6,94522.7,71.8,68.4,800.0,0,4,69.13799999999993
2,Brake Service,800.0,1.25,1,Sedan,6,95817.4,73.7,74.1,775.0,0,4,74.78300000000009
2,Brake Service,800.0,1.25,1,Sedan,6,84289.3,76.0,77.1,1050.0,1,4,76.7160000000001
2,Brake Service,800.0,1.25,1,SUV,20,253839.7,77.0,87.8,7625.0,1,3,83.25500000000004
11,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Van,8,113597.0,268.0,359.8,3550.0,1,5,373.3379999999999
11,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Sedan,6,81156.0,281.0,328.5,3050.0,0,4,354.6049999999999
12,Replace Suspension Bushing,1500.0,2.5,0,Sedan,10,148196.4,143.7,178.6,1475.0,1,4,186.47400000000005
3,Tire Rotation & Balance,800.0,0.5,1,Sedan,10,162693.5,30.4,31.6,1525.0,1,4,29.933999999999966
1,Change Oil,650.0,0.75,1,Sedan,10,134066.1,45.2,43.6,650.0,0,4,44.321999999999974
12,Replace Suspension Bushing,1500.0,2.5,0,Sedan,10,129669.8,154.8,141.0,1625.0,0,4,170.31199999999993
2,Brake Service,800.0,1.25,1,Sedan,10,125442.6,73.8,74.3,1825.0,1,4,75.5070000000001
1,Change Oil,650.0,0.75,1,Sedan,10,144890.9,44.4,45.2,600.0,0,4,46.124999999999936
2,Brake Service,800.0,1.25,1,Sedan,10,130738.1,71.5,73.3,1675.0,1,4,69.88199999999992
2,Brake Service,800.0,1.25,1,SUV,18,218328.9,78.1,76.1,7350.0,1,3,76.35800000000006
11,Down Clutch / Pulldown Transmission,3500.0,4.5,0,Van,8,119475.9,263.0,403.1,4000.0,1,5,395.0389999999996
1,Change Oil,650.0,0.75,1,Sedan,16,211675.6,44.4,50.3,700.0,1,4,48.938000000000045
4,Wheel Alignment,800.0,1.0,1,Sedan,6,81032.4,62.0,58.3,775.0,0,4,59.37500000000002
2,Brake Service,800.0,1.25,1,Sedan,6,75660.2,76.3,77.9,4425.0,1,4,78.77099999999992
14,Rotor Disc Refacing,3000.0,2.0,1,Sedan,6,80823.1,116.1,109.9,4300.0,1,4,110.77699999999986
13,Replace Tie Rod / Rack End,1000.0,1.5,1,Sedan,6,91269.3,88.6,87.8,1025.0,0,4,89.68500000000007
2,Brake Service,800.0,1.25,1,Sedan,6,93463.5,75.4,67.2,800.0,0,4,70.70699999999992
1,Change Oil,650.0,0.75,1,Sedan,6,80898.3,46.8,42.3,850.0,0,4,44.82500000000005
9,Replace Fuel Filter,550.0,0.75,1,Sedan,6,84818.5,46.8,48.7,550.0,0,4,48.14799999999994
2,Brake Service,800.0,1.25,1,Sedan,6,83502.6,72.5,75.3,525.0,0,4,74.11500000000005
9,Replace Fuel Filter,550.0,0.75,1,Sedan,6,68539.9,45.7,53.4,200.0,0,4,48.87699999999998
17,Replace Shock Absorbers,1500.0,2.0,1,Sedan,6,85562.6,122.5,117.6,1700.0,0,4,123.79700000000015
14,Rotor Disc Refacing,3000.0,2.0,1,Sedan,6,93361.0,124.2,134.9,4375.0,1,4,129.19499999999994
17,Replace Shock Absorbers,1500.0,2.0,1,Sedan,6,74028.5,117.2,127.8,600.0,0,4,124.25099999999989
1,Change Oil,650.0,0.75,1,Sedan,6,92479.9,45.0,44.9,1700.0,1,4,44.929
9,Replace Fuel Filter,550.0,0.75,1,Sedan,6,81077.7,44.0,45.0,1300.0,1,4,44.96299999999999
16,Replace Spark Plugs,350.0,0.5,1,Sedan,6,83476.6,31.4,31.5,200.0,0,4,33.77399999999998
1,Change Oil,650.0,0.75,1,Crossover,10,127686.4,44.7,44.0,18700.0,1,0,44.947999999999986
1,Change Oil,650.0,0.75,1,Crossover,10,141468.7,44.2,45.8,750.0,1,0,45.64400000000004
4,Wheel Alignment,800.0,1.0,1,SUV,17,271706.9,60.4,62.7,775.0,1,3,61.66899999999993
14,Rotor Disc Refacing,3000.0,2.0,1,SUV,17,268144.8,120.2,126.0,4100.0,1,3,123.76700000000001
2,Brake Service,800.0,1.25,1,SUV,17,255529.4,73.9,80.7,4375.0,1,3,75.00500000000007
13,Replace Tie Rod / Rack End,1000.0,1.5,1,SUV,17,265359.7,93.7,99.4,1200.0,1,3,96.564
2,Brake Service,800.0,1.25,1,SUV,17,261733.6,76.5,79.5,800.0,1,3,78.56400000000004
1,Change Oil,650.0,0.75,1,SUV,17,226866.2,43.2,42.4,800.0,1,3,44.32000000000003
9,Replace Fuel Filter,550.0,0.75,1,SUV,17,237715.0,44.0,43.4,550.0,1,3,43.824000000000034
8,Change ATF / Transmission Fluid Flush,650.0,0.75,1,SUV,17,212233.5,44.4,45.5,475.0,1,3,46.503
1,Change Oil,650.0,0.75,1,SUV,17,254165.2,45.6,55.2,550.0,1,3,51.70099999999994
15,Top Overhaul,15000.0,14.0,0,Sedan,6,91737.5,880.0,792.5,16075.0,0,4,906.2659999999997
1,Change Oil,650.0,0.75,1,Sedan,6,89605.3,44.7,42.8,550.0,0,4,43.13399999999996
2,Brake Service,800.0,1.25,1,Sedan,6,73192.7,73.1,84.9,825.0,0,4,83.81899999999989
5,Engine Diagnostics,1200.0,1.0,0,Sedan,6,86483.9,62.7,83.6,1875.0,1,4,81.38200000000005
2,Brake Service,800.0,1.25,1,Sedan,6,87136.1,73.1,82.0,475.0,0,4,80.095
8,Change ATF / Transmission Fluid Flush,650.0,0.75,1,SUV,15,177372.6,43.0,43.0,9300.0,1,3,42.94800000000001
1,Change Oil,650.0,0.75,1,SUV,15,187261.1,44.9,44.9,750.0,1,3,45.49600000000001
9,Replace Fuel Filter,550.0,0.75,1,SUV,15,206916.3,45.6,46.0,525.0,1,3,45.88799999999999
6,Replace Fan Belt,800.0,1.0,1,SUV,15,219092.4,62.1,58.5,825.0,1,3,60.49200000000002
1,Change Oil,650.0,0.75,1,Crossover,11,138456.5,42.9,46.0,800.0,1,0,44.93999999999999
10,Replace Valve Cover Gasket,1400.0,1.75,0,Crossover,11,157367.1,106.5,192.1,975.0,1,0,174.51600000000005
2,Brake Service,800.0,1.25,1,Crossover,11,173443.8,78.5,77.0,1200.0,1,0,78.67200000000001
1,Change Oil,650.0,0.75,1,Sedan,6,85638.8,42.9,41.7,675.0,0,4,44.23300000000002
13,Replace Tie Rod / Rack End,1000.0,1.5,1,Sedan,6,78893.5,91.2,95.7,1225.0,1,4,95.35799999999998
2,Brake Service,800.0,1.25,1,Sedan,6,89950.0,72.6,78.4,400.0,0,4,77.43499999999997
17,Replace Shock Absorbers,1500.0,2.0,1,Sedan,6,96136.2,118.5,114.5,1275.0,0,4,118.6229999999999
