id,customer_user_id,assigned_employee_id,reference_type,reference_id,session_status,started_at,last_activity_at
1,9,194,job_order,447,admin_handling,2026-01-02 02:35:38.293298,2026-01-08 02:35:38.293298
2,310,168,general,281,resolved,2026-02-04 02:35:38.293298,2026-02-09 02:35:38.293298
3,171,139,service_ticket,396,resolved,2025-05-16 02:35:38.293298,2025-05-22 02:35:38.293298
4,265,335,general,,waiting_for_admin,2025-11-08 02:35:38.293298,2025-11-12 02:35:38.293298
5,418,369,service_ticket,,resolved,2025-10-29 02:35:38.293298,2025-11-07 02:35:38.293298
6,400,217,job_order,59,bot_handling,2025-09-26 02:35:38.293298,2025-10-01 02:35:38.293298
7,20,401,general,,bot_handling,2026-04-29 02:35:38.293298,2026-05-06 02:35:38.293298
8,329,177,general,,bot_handling,2025-05-11 02:35:38.293298,2025-05-27 02:35:38.293298
9,44,46,job_order,426,waiting_for_admin,2026-01-21 02:35:38.293298,2026-01-27 02:35:38.293298
10,488,203,service_ticket,465,admin_handling,2026-07-27 02:35:38.293298,2026-08-02 02:35:38.293298
11,32,104,job_order,29,admin_handling,2025-06-16 02:35:38.293298,2025-06-24 02:35:38.293298
12,187,186,general,,bot_handling,2025-07-01 02:35:38.293298,2025-07-12 02:35:38.293298
13,415,44,general,23,resolved,2025-04-04 02:35:38.293298,2025-04-17 02:35:38.293298
14,166,21,general,,waiting_for_admin,2025-12-11 02:35:38.293298,2025-12-20 02:35:38.293298
15,356,490,job_order,218,waiting_for_admin,2026-01-28 02:35:38.293298,2026-02-02 02:35:38.293298
16,346,425,job_order,122,resolved,2025-05-08 02:35:38.293298,2025-05-16 02:35:38.293298
17,17,485,job_order,351,resolved,2025-06-12 02:35:38.293298,2025-06-21 02:35:38.293298
18,32,421,general,29,bot_handling,2025-06-17 02:35:38.293298,2025-06-24 02:35:38.293298
19,62,465,general,197,waiting_for_admin,2025-06-02 02:35:38.293298,2025-06-16 02:35:38.293298
20,12,268,general,85,admin_handling,2025-06-19 02:35:38.293298,2025-06-27 02:35:38.293298
21,127,209,job_order,278,resolved,2026-07-08 02:35:38.293298,2026-07-16 02:35:38.293298
22,493,275,service_ticket,138,bot_handling,2025-06-15 02:35:38.293298,2025-06-21 02:35:38.293298
23,311,107,general,26,bot_handling,2025-10-02 02:35:38.293298,2025-10-11 02:35:38.293298
24,226,425,service_ticket,186,waiting_for_admin,2026-05-21 02:35:38.293298,2026-06-04 02:35:38.293298
25,119,351,service_ticket,,waiting_for_admin,2025-07-12 02:35:38.293298,2025-07-15 02:35:38.293298
26,14,195,job_order,435,bot_handling,2025-12-05 02:35:38.293298,2025-12-20 02:35:38.293298
27,232,157,general,210,bot_handling,2026-04-17 02:35:38.293298,2026-04-25 02:35:38.293298
28,39,170,service_ticket,317,resolved,2026-01-07 02:35:38.293298,2026-01-13 02:35:38.293298
29,400,120,job_order,59,bot_handling,2025-09-27 02:35:38.293298,2025-10-04 02:35:38.293298
30,489,62,job_order,289,waiting_for_admin,2025-10-02 02:35:38.293298,2025-10-16 02:35:38.293298
31,391,400,job_order,248,resolved,2026-06-26 02:35:38.293298,2026-07-09 02:35:38.293298
32,357,489,service_ticket,125,admin_handling,2025-09-18 02:35:38.293298,2025-09-26 02:35:38.293298
33,334,227,general,,resolved,2025-12-29 02:35:38.293298,2026-01-06 02:35:38.293298
34,376,96,job_order,,waiting_for_admin,2026-06-23 02:35:38.293298,2026-06-27 02:35:38.293298
35,1,134,service_ticket,,admin_handling,2025-10-31 02:35:38.293298,2025-11-11 02:35:38.293298
36,479,279,general,189,bot_handling,2025-04-06 02:35:38.293298,2025-04-09 02:35:38.293298
37,237,18,general,15,admin_handling,2025-09-03 02:35:38.293298,2025-09-14 02:35:38.293298
38,105,382,service_ticket,168,resolved,2025-06-01 02:35:38.293298,2025-06-10 02:35:38.293298
39,131,380,service_ticket,64,admin_handling,2025-06-19 02:35:38.293298,2025-06-26 02:35:38.293298
40,386,139,service_ticket,3,waiting_for_admin,2025-05-24 02:35:38.293298,2025-05-24 02:35:38.293298
41,459,479,job_order,,waiting_for_admin,2025-10-07 02:35:38.293298,2025-10-18 02:35:38.293298
42,272,284,job_order,234,bot_handling,2025-12-31 02:35:38.293298,2026-01-14 02:35:38.293298
43,468,112,job_order,254,resolved,2025-08-18 02:35:38.293298,2025-08-23 02:35:38.293298
44,199,284,general,,waiting_for_admin,2026-08-08 02:35:38.293298,2026-08-14 02:35:38.293298
45,6,358,service_ticket,40,admin_handling,2026-05-29 02:35:38.293298,2026-05-31 02:35:38.293298
46,260,208,service_ticket,,bot_handling,2026-04-06 02:35:38.293298,2026-04-18 02:35:38.293298
47,292,104,service_ticket,245,waiting_for_admin,2025-05-02 02:35:38.293298,2025-05-09 02:35:38.293298
48,306,73,service_ticket,153,resolved,2025-04-12 02:35:38.293298,2025-04-22 02:35:38.293298
49,424,272,service_ticket,38,resolved,2025-05-31 02:35:38.293298,2025-06-12 02:35:38.293298
50,342,319,service_ticket,419,admin_handling,2026-05-22 02:35:38.293298,2026-06-04 02:35:38.293298
