id,employee_id,shop_id,branch,location,rank,base_salary,commission_percent,jobs_capacity,color
1,2,2,North Branch,Quezon City,Mid-Level,29456.33,7.12,2,#FF5733
2,3,5,West Branch,Pasig City,Senior,45712.80,9.96,4,#33FFF0
3,4,6,West Branch,Taguig,Lead,43095.57,5.92,4,#F033FF
4,5,2,West Branch,Taguig,Mid-Level,48406.37,1.82,4,#F033FF
5,6,6,Main Branch,Quezon City,Senior,44561.34,2.61,4,#F033FF
6,7,6,East Branch,Makati City,Senior,40895.97,4.76,3,#33FF57
7,8,2,North Branch,Taguig,Junior,16444.45,7.94,3,#F033FF
8,9,7,South Branch,Makati City,Lead,43757.98,4.66,2,#FF5733
9,10,2,Main Branch,Manila,Mid-Level,47048.53,7.97,4,#3357FF
10,11,4,Main Branch,Manila,Senior,47005.11,9.35,3,#3357FF
11,12,10,West Branch,Makati City,Junior,47782.84,2.08,4,#3357FF
12,13,1,East Branch,Quezon City,Senior,46888.71,6.23,1,#FF5733
13,14,8,East Branch,Quezon City,Mid-Level,19705.03,1.65,2,#3357FF
14,15,7,West Branch,Makati City,Senior,29843.21,7.21,2,#33FF57
15,16,4,North Branch,Makati City,Lead,46243.17,1.96,2,#33FF57
16,17,5,West Branch,Pasig City,Mid-Level,22137.67,7.58,2,#F033FF
17,18,7,Main Branch,Makati City,Mid-Level,17341.39,5.50,2,#3357FF
18,19,1,South Branch,Taguig,Lead,31581.43,4.63,4,#FF5733
19,20,7,South Branch,Pasig City,Junior,34485.97,7.49,3,#33FF57
20,21,2,South Branch,Manila,Junior,30949.52,5.49,1,#FF5733
21,22,7,South Branch,Quezon City,Mid-Level,30140.87,6.23,2,#F033FF
22,23,8,South Branch,Quezon City,Lead,41600.92,9.35,2,#F033FF
23,24,5,West Branch,Taguig,Senior,41406.92,3.61,4,#33FFF0
24,25,8,South Branch,Quezon City,Junior,49090.66,3.09,1,#33FFF0
25,26,4,East Branch,Quezon City,Senior,36538.78,1.60,1,#F033FF
26,27,1,North Branch,Makati City,Lead,17707.44,6.12,4,#33FF57
27,28,4,North Branch,Quezon City,Senior,24299.70,1.63,4,#F0FF33
28,29,9,Main Branch,Manila,Lead,41551.79,5.31,3,#F033FF
29,30,7,East Branch,Makati City,Mid-Level,31698.99,6.59,4,#FF5733
30,31,2,Main Branch,Pasig City,Lead,36998.11,5.19,1,#F0FF33
31,32,7,East Branch,Makati City,Mid-Level,28946.45,3.77,3,#33FF57
32,33,8,East Branch,Taguig,Senior,31414.41,6.05,1,#33FFF0
33,34,7,West Branch,Quezon City,Senior,18139.61,2.50,2,#33FF57
34,35,5,South Branch,Makati City,Senior,35674.97,1.99,3,#F033FF
35,36,6,East Branch,Pasig City,Lead,24737.52,8.51,4,#F033FF
36,37,7,South Branch,Taguig,Mid-Level,28880.25,8.58,1,#F0FF33
37,38,3,South Branch,Manila,Senior,44351.88,8.71,3,#F0FF33
38,39,5,West Branch,Makati City,Mid-Level,34878.44,9.21,3,#3357FF
39,40,8,South Branch,Pasig City,Junior,47722.94,3.93,2,#F0FF33
40,41,4,South Branch,Taguig,Lead,32848.52,5.00,4,#33FFF0
41,42,2,North Branch,Makati City,Senior,36179.77,2.72,4,#F0FF33
