id,employee_id,query_category,context_vehicle_id,started_at
1,61,technical_manual,,2026-03-11 04:32:06.293298
2,445,part_validation,531,2025-11-25 05:05:41.293298
3,244,part_validation,9,2026-04-30 19:22:49.293298
4,292,prescriptive_diagnosis,805,2026-05-01 16:28:51.293298
5,469,prescriptive_diagnosis,625,2025-11-13 21:17:00.293298
6,112,technical_manual,81,2026-04-12 04:16:57.293298
7,414,part_validation,545,2026-04-13 05:30:36.293298
8,53,prescriptive_diagnosis,131,2026-02-18 05:34:57.293298
9,144,technical_manual,,2026-07-14 16:16:25.293298
10,186,technical_manual,,2025-11-06 19:42:14.293298
11,96,prescriptive_diagnosis,776,2025-09-02 17:24:35.293298
12,440,part_validation,602,2026-01-02 06:16:12.293298
13,211,prescriptive_diagnosis,87,2025-12-17 09:34:27.293298
14,328,technical_manual,816,2025-10-25 02:07:11.293298
15,460,part_validation,156,2026-07-29 17:37:00.293298
16,63,prescriptive_diagnosis,792,2025-10-03 17:08:33.293298
17,418,part_validation,64,2026-05-01 16:36:53.293298
18,377,prescriptive_diagnosis,94,2026-01-01 21:01:50.293298
19,318,prescriptive_diagnosis,,2026-07-18 08:51:02.293298
20,453,prescriptive_diagnosis,150,2025-10-10 12:34:47.293298
21,294,prescriptive_diagnosis,642,2025-09-20 19:55:18.293298
22,428,prescriptive_diagnosis,419,2026-04-07 22:36:10.293298
23,319,part_validation,91,2026-04-28 20:17:38.293298
24,445,part_validation,468,2026-05-18 15:32:32.293298
25,360,part_validation,,2026-07-16 20:03:29.293298
26,10,technical_manual,11,2026-02-01 06:36:13.293298
27,55,technical_manual,907,2026-03-28 11:34:23.293298
28,433,part_validation,188,2026-06-06 15:08:35.293298
29,253,part_validation,774,2026-03-18 07:47:20.293298
30,294,technical_manual,986,2026-06-28 09:29:28.293298
31,424,technical_manual,860,2025-11-30 15:26:22.293298
32,397,prescriptive_diagnosis,497,2025-11-29 18:29:11.293298
33,86,part_validation,879,2025-08-12 15:40:13.293298
34,483,technical_manual,223,2026-06-03 04:34:11.293298
35,28,prescriptive_diagnosis,,2025-12-10 11:44:42.293298
36,241,part_validation,620,2026-05-02 17:33:28.293298
37,296,part_validation,921,2026-05-17 02:34:29.293298
38,440,prescriptive_diagnosis,,2026-02-28 00:08:42.293298
39,142,technical_manual,854,2026-07-02 00:56:22.293298
40,137,part_validation,307,2026-04-15 09:08:42.293298
41,52,technical_manual,78,2026-03-12 17:08:07.293298
42,39,prescriptive_diagnosis,,2026-06-23 01:09:26.293298
43,156,part_validation,,2026-03-29 18:47:50.293298
44,134,part_validation,543,2025-09-19 02:25:52.293298
45,8,technical_manual,69,2026-01-27 18:07:25.293298
46,231,prescriptive_diagnosis,492,2026-06-26 09:30:57.293298
47,476,part_validation,421,2026-06-29 00:50:21.293298
48,149,prescriptive_diagnosis,634,2025-09-30 22:06:50.293298
49,457,part_validation,,2026-05-19 14:26:17.293298
50,71,part_validation,778,2026-02-25 08:29:56.293298
51,324,technical_manual,200,2025-11-23 05:41:07.293298
52,493,technical_manual,636,2025-08-30 14:26:09.293298
53,25,prescriptive_diagnosis,,2025-08-25 19:11:59.293298
54,346,part_validation,476,2025-09-04 02:16:40.293298
55,494,technical_manual,273,2026-05-23 08:45:27.293298
56,83,prescriptive_diagnosis,50,2025-10-24 05:07:22.293298
57,30,prescriptive_diagnosis,,2026-05-16 19:17:17.293298
58,175,part_validation,,2026-06-20 08:28:01.293298
59,60,part_validation,,2025-09-01 20:13:40.293298
60,20,prescriptive_diagnosis,189,2026-05-16 08:52:25.293298
61,481,part_validation,988,2025-08-26 19:19:22.293298
