id,vehicle_catalog_id,part_catalog_id,notes
1,1,5,
2,1,193,
3,3,44,Direct fit
4,3,97,
5,4,180,
6,5,123,
7,5,161,
8,6,50,
9,7,2,
10,7,67,
11,7,118,
12,7,124,
13,8,27,Requires professional installation
14,9,33,Requires professional installation
15,10,88,
16,10,151,
17,10,193,Requires professional installation
18,11,93,
19,11,166,
20,12,29,
21,13,116,
22,13,177,
23,14,122,Front driver and passenger side
24,15,39,Direct fit
25,17,32,Requires professional installation
26,17,98,
27,17,144,
28,18,28,
29,19,17,
30,21,36,
31,22,35,
32,22,69,
33,22,91,
34,22,109,
35,22,148,
36,23,25,
37,23,81,Front driver and passenger side
38,24,6,
39,24,33,
40,24,149,
41,24,157,
42,25,20,
43,25,22,
44,25,103,
45,25,144,
46,25,183,
47,25,184,
48,27,78,Requires professional installation
49,28,75,Direct fit
50,28,138,
51,29,94,
52,29,115,Requires professional installation
53,29,134,Front driver and passenger side
54,29,145,For automatic transmissions only
55,30,38,Front driver and passenger side
56,30,92,
57,30,118,
58,31,30,
59,31,111,Requires professional installation
60,31,128,Requires professional installation
61,31,177,
62,32,38,Direct fit
63,32,41,Verify VIN before installation
64,32,190,
65,33,21,
66,33,107,Direct fit
67,33,170,
68,34,166,
69,35,31,
70,36,53,
71,37,61,
72,37,92,Requires professional installation
73,37,164,Requires professional installation
74,38,40,
75,38,41,Front driver and passenger side
76,38,41,
77,38,95,
78,41,159,
79,41,170,Direct fit
80,42,49,
81,42,53,
82,42,87,
83,42,125,
84,42,178,
85,43,25,
86,43,61,
87,43,109,
88,43,182,
89,44,61,
90,44,73,
91,44,98,Direct fit
92,44,125,For automatic transmissions only
93,44,131,For automatic transmissions only
94,44,174,Verify VIN before installation
95,44,200,
96,45,62,
97,45,71,
98,45,103,Requires professional installation
99,45,115,
100,45,193,Front driver and passenger side
101,46,52,
102,46,65,
103,46,146,
104,47,58,
105,47,180,
106,48,12,
107,48,110,
108,48,144,Verify VIN before installation
109,49,96,
110,49,140,
111,49,145,For automatic transmissions only
112,49,191,
113,50,102,
114,51,132,
115,52,36,Front driver and passenger side
116,52,112,
117,52,121,
118,53,80,
119,53,107,
120,53,113,
121,53,199,Requires professional installation
122,54,21,
123,55,17,
124,55,21,
125,55,32,Direct fit
126,55,54,
127,55,65,
128,55,97,
129,55,125,
130,56,33,
131,56,138,
132,56,173,
133,57,54,
134,57,84,
135,57,173,
136,57,187,Front driver and passenger side
137,58,24,
138,59,17,For automatic transmissions only
139,59,19,
140,59,72,
141,59,79,
142,59,119,
143,59,125,
144,60,82,
145,60,175,
146,61,79,
147,61,199,
148,62,73,For automatic transmissions only
149,62,134,Requires professional installation
150,62,196,
151,63,21,Front driver and passenger side
152,63,46,
153,63,132,
154,64,25,Verify VIN before installation
155,66,10,For automatic transmissions only
156,66,108,Front driver and passenger side
157,66,144,Requires professional installation
158,67,27,
159,67,69,Requires professional installation
160,68,59,
161,68,77,
162,69,17,
163,69,109,For automatic transmissions only
164,69,111,
165,69,118,Requires professional installation
166,69,147,
167,69,165,
168,71,2,
169,71,44,Front driver and passenger side
170,71,53,
171,71,102,
172,71,123,
173,73,89,Requires professional installation
174,73,161,
175,73,169,
176,73,172,Verify VIN before installation
177,73,199,Requires professional installation
178,74,10,
179,74,73,
180,74,149,Requires professional installation
181,74,170,Requires professional installation
182,75,4,
183,76,33,
184,76,59,For automatic transmissions only
185,77,80,
186,78,24,For automatic transmissions only
187,78,27,
188,78,101,Requires professional installation
189,79,30,Verify VIN before installation
190,79,62,
191,79,113,
192,80,21,
193,80,99,Requires professional installation
194,80,158,
195,81,21,
196,81,189,
197,82,21,
198,82,26,
199,82,133,For automatic transmissions only
200,83,29,
201,83,80,
202,83,89,
203,83,101,
204,83,132,
205,83,170,
206,84,157,Front driver and passenger side
207,84,159,
208,84,160,
209,85,95,Direct fit
210,85,133,Direct fit
211,85,146,
212,86,40,
213,86,120,
214,86,131,
215,87,91,
216,87,134,
217,87,146,Verify VIN before installation
218,88,88,Verify VIN before installation
219,88,155,
220,88,176,Direct fit
221,89,177,
222,91,23,
223,91,91,
224,91,109,
225,91,160,Requires professional installation
226,91,180,
227,91,185,
228,92,67,
229,92,140,For automatic transmissions only
230,92,146,
231,92,150,For automatic transmissions only
232,93,26,
233,93,178,
234,94,11,
235,94,99,
236,95,195,
237,96,23,Verify VIN before installation
238,96,36,Direct fit
239,97,67,
240,97,105,For automatic transmissions only
241,98,21,
242,98,106,
243,99,126,
244,99,163,Verify VIN before installation
245,100,133,
246,100,162,Requires professional installation
247,101,99,Direct fit
248,101,180,
249,101,184,
250,102,138,
251,102,142,Direct fit
252,102,178,
