id,job_order_id,payment_method,proof_of_payment_image,amount_paid,payment_date,verification_status
1,100,debit_card,https://storage.shop.com/receipts/pay_487666.jpg,10267.06,2026-06-02 10:21:05.293298,refunded
2,148,debit_card,https://storage.shop.com/receipts/pay_253420.jpg,24908.65,2026-01-15 14:38:37.293298,verified
3,260,cheque,https://storage.shop.com/receipts/pay_340327.jpg,10466.54,2025-11-30 19:27:08.293298,verified
4,505,cash,,9150.44,2026-07-14 01:35:38.293298,verified
5,26,cheque,https://storage.shop.com/receipts/pay_952931.jpg,13887.37,2025-08-23 12:02:42.293298,verified
6,6,debit_card,https://storage.shop.com/receipts/pay_311960.jpg,1083.11,2025-12-21 22:29:02.293298,verified
7,383,debit_card,https://storage.shop.com/receipts/pay_643699.jpg,4220.20,2026-05-15 23:32:14.293298,verified
8,151,cash,,11279.77,2025-11-06 05:59:09.293298,verified
9,32,bank_transfer,https://storage.shop.com/receipts/pay_489887.jpg,12164.58,2026-07-01 02:53:27.293298,verified
10,38,cheque,https://storage.shop.com/receipts/pay_112666.jpg,8459.20,2025-09-27 22:56:19.293298,verified
11,61,cash,,4821.34,2026-03-16 17:07:12.293298,pending
12,327,credit_card,https://storage.shop.com/receipts/pay_493527.jpg,11614.88,2026-06-28 19:23:25.293298,verified
13,407,cash,,694.92,2026-05-10 09:09:58.293298,verified
14,319,e_wallet,https://storage.shop.com/receipts/pay_593897.jpg,7504.26,2026-02-04 13:32:57.293298,verified
15,95,cheque,https://storage.shop.com/receipts/pay_519823.jpg,19931.16,2026-02-27 16:05:36.293298,pending
16,461,cheque,https://storage.shop.com/receipts/pay_274887.jpg,922.93,2026-02-02 21:11:45.293298,verified
17,104,e_wallet,https://storage.shop.com/receipts/pay_521467.jpg,3090.28,2026-01-07 01:25:49.293298,verified
18,421,bank_transfer,https://storage.shop.com/receipts/pay_218108.jpg,11479.95,2025-09-30 17:10:42.293298,rejected
19,363,credit_card,https://storage.shop.com/receipts/pay_349041.jpg,9394.15,2025-12-02 06:16:11.293298,verified
20,325,cash,,15538.47,2026-03-04 02:52:53.293298,verified
21,486,bank_transfer,https://storage.shop.com/receipts/pay_954124.jpg,12726.81,2025-12-16 07:11:50.293298,verified
22,181,e_wallet,https://storage.shop.com/receipts/pay_682367.jpg,9315.48,2025-09-06 13:31:49.293298,verified
23,223,debit_card,https://storage.shop.com/receipts/pay_958453.jpg,25012.65,2026-01-25 03:30:28.293298,verified
24,512,debit_card,https://storage.shop.com/receipts/pay_115389.jpg,7960.31,2026-07-22 07:35:38.293298,rejected
25,434,credit_card,https://storage.shop.com/receipts/pay_481029.jpg,7277.81,2025-08-21 13:45:07.293298,verified
26,99,bank_transfer,https://storage.shop.com/receipts/pay_920042.jpg,805.02,2026-07-25 14:11:53.293298,verified
27,212,cash,,3176.53,2026-02-04 06:17:18.293298,verified
28,480,cheque,https://storage.shop.com/receipts/pay_399271.jpg,25230.15,2026-05-20 06:52:54.293298,verified
29,262,debit_card,https://storage.shop.com/receipts/pay_647037.jpg,6989.09,2025-09-07 14:09:04.293298,verified
30,178,cash,,12301.65,2025-12-20 21:38:42.293298,verified
31,75,debit_card,https://storage.shop.com/receipts/pay_288391.jpg,7868.63,2026-01-06 08:20:29.293298,verified
32,242,cash,,22319.99,2026-06-18 00:51:31.293298,rejected
33,487,credit_card,https://storage.shop.com/receipts/pay_562858.jpg,22278.70,2025-08-08 22:12:42.293298,rejected
34,189,cheque,https://storage.shop.com/receipts/pay_746164.jpg,7264.62,2026-04-06 05:46:11.293298,rejected
35,493,cheque,https://storage.shop.com/receipts/pay_402452.jpg,9592.08,2026-07-21 18:28:46.293298,verified
36,55,e_wallet,https://storage.shop.com/receipts/pay_401602.jpg,21025.45,2025-12-13 00:50:42.293298,rejected
37,111,cheque,https://storage.shop.com/receipts/pay_450764.jpg,2128.50,2026-05-19 02:38:07.293298,verified
38,397,credit_card,https://storage.shop.com/receipts/pay_781374.jpg,8288.90,2026-01-16 23:37:20.293298,verified
39,85,cheque,https://storage.shop.com/receipts/pay_890662.jpg,12260.03,2025-09-19 00:45:46.293298,verified
40,486,bank_transfer,https://storage.shop.com/receipts/pay_704514.jpg,25453.62,2025-12-15 22:11:50.293298,verified
41,338,e_wallet,https://storage.shop.com/receipts/pay_919825.jpg,8331.35,2026-07-20 10:43:36.293298,refunded
42,447,e_wallet,https://storage.shop.com/receipts/pay_927587.jpg,4803.75,2026-05-19 13:28:26.293298,verified
43,195,cheque,https://storage.shop.com/receipts/pay_678440.jpg,12394.45,2026-04-30 04:16:50.293298,verified
44,509,debit_card,https://storage.shop.com/receipts/pay_502973.jpg,7864.71,2026-07-30 17:35:38.293298,verified
45,509,e_wallet,https://storage.shop.com/receipts/pay_607773.jpg,7864.71,2026-07-31 00:35:38.293298,verified
46,343,cash,,5365.88,2026-02-01 12:13:51.293298,verified
47,77,credit_card,https://storage.shop.com/receipts/pay_363751.jpg,14806.44,2026-02-09 17:50:45.293298,verified
48,42,e_wallet,https://storage.shop.com/receipts/pay_462779.jpg,10943.68,2026-07-19 05:12:00.293298,verified
49,87,cash,,17113.40,2026-01-09 14:18:04.293298,verified
50,457,e_wallet,https://storage.shop.com/receipts/pay_428716.jpg,5260.49,2026-07-15 06:35:30.293298,pending
51,163,e_wallet,https://storage.shop.com/receipts/pay_131700.jpg,19658.21,2026-02-10 22:25:59.293298,verified
52,375,debit_card,https://storage.shop.com/receipts/pay_981194.jpg,12539.54,2026-04-03 13:16:47.293298,verified
53,343,debit_card,https://storage.shop.com/receipts/pay_941724.jpg,5365.88,2026-02-01 22:13:51.293298,verified
54,491,cheque,https://storage.shop.com/receipts/pay_986092.jpg,8686.79,2025-10-26 07:46:13.293298,verified
