id,supplier_id,order_date,expected_delivery_date,actual_delivery_date,total_supplier_cost,status
1,1,2026-06-07 17:54:00.293298,2026-06-14 17:54:00.293298,,32900.60,sent
2,5,2026-05-18 17:27:55.293298,2026-05-31 17:27:55.293298,2026-05-26 17:27:55.293298,32887.92,fulfilled
3,7,2026-06-04 21:34:57.293298,2026-06-08 21:34:57.293298,2026-06-11 21:34:57.293298,25145.91,fulfilled
4,8,2026-05-19 23:56:15.293298,2026-05-30 23:56:15.293298,2026-06-04 23:56:15.293298,39991.38,fulfilled
5,3,2026-07-20 09:59:59.293298,2026-07-25 09:59:59.293298,2026-07-25 09:59:59.293298,35142.47,partially_received
6,7,2026-07-22 18:03:38.293298,2026-07-29 18:03:38.293298,2026-07-25 18:03:38.293298,27542.03,fulfilled
7,9,2026-07-11 14:54:02.293298,2026-07-21 14:54:02.293298,2026-07-23 14:54:02.293298,5898.20,fulfilled
8,2,2026-07-18 09:57:04.293298,2026-07-20 09:57:04.293298,2026-07-25 09:57:04.293298,47213.43,partially_received
9,7,2026-06-03 21:36:49.293298,2026-06-08 21:36:49.293298,,44289.31,drafting
10,2,2026-06-12 23:01:55.293298,2026-06-26 23:01:55.293298,2026-06-23 23:01:55.293298,48506.92,fulfilled
11,5,2026-06-07 20:00:12.293298,2026-06-08 20:00:12.293298,2026-06-17 20:00:12.293298,37497.63,fulfilled
12,2,2026-06-27 18:52:28.293298,2026-06-28 18:52:28.293298,2026-07-07 18:52:28.293298,17667.77,partially_received
13,7,2026-05-09 09:45:22.293298,2026-05-19 09:45:22.293298,,10143.91,cancelled
14,10,2026-05-13 20:33:22.293298,2026-05-26 20:33:22.293298,,43472.01,drafting
15,5,2026-07-15 05:33:43.293298,2026-07-19 05:33:43.293298,2026-07-27 05:33:43.293298,5273.31,fulfilled
16,10,2026-06-20 11:02:07.293298,2026-06-24 11:02:07.293298,,16889.23,cancelled
17,7,2026-05-17 05:19:07.293298,2026-05-28 05:19:07.293298,2026-05-25 05:19:07.293298,38394.19,fulfilled
18,4,2026-07-05 03:52:58.293298,2026-07-18 03:52:58.293298,2026-07-10 03:52:58.293298,45917.01,fulfilled
19,5,2026-07-15 20:54:02.293298,2026-07-18 20:54:02.293298,,28868.73,drafting
20,7,2026-05-29 01:01:24.293298,2026-06-01 01:01:24.293298,,33606.54,cancelled
