id,job_order_id,section_id,task_title,note,task_status,completed_at,price,billable,scheduled_date,mechanic_id,estimated_finish
1,385,received,Final check,Auto-generated task note based on service history.,completed,2026-04-20 19:22:38.293298,,True,,,
2,283,in_progress,Finalize quotation,Auto-generated task note based on service history.,completed,2026-01-18 20:36:16.293298,,True,,,
3,17,received,Inspect brake pads,Auto-generated task note based on service history.,pending,,,True,,,
4,96,quotation,Test drive vehicle,Auto-generated task note based on service history.,pending,,,True,,,
5,59,in_progress,Clean interior,Auto-generated task note based on service history.,in_progress,,,True,,,
6,399,received,Final check,Auto-generated task note based on service history.,in_progress,,,True,,,
7,132,quotation,Inspect brake pads,Auto-generated task note based on service history.,completed,2026-06-01 04:41:20.293298,,True,,,
8,78,inspecting,Test drive vehicle,Auto-generated task note based on service history.,in_progress,,,True,,,
9,134,complete,Test drive vehicle,Auto-generated task note based on service history.,in_progress,,,True,,,
10,495,complete,Final check,Auto-generated task note based on service history.,completed,2026-05-23 18:14:41.293298,,True,,,
11,21,received,Clean interior,Auto-generated task note based on service history.,pending,,,True,,,
12,282,in_progress,Perform alignment,Auto-generated task note based on service history.,pending,,,True,,,
13,247,in_progress,Test drive vehicle,Auto-generated task note based on service history.,in_progress,,,True,,,
14,191,inspecting,Perform alignment,Auto-generated task note based on service history.,in_progress,,,True,,,
15,444,quotation,Check tire pressure,Auto-generated task note based on service history.,in_progress,,,True,,,
16,79,received,Test drive vehicle,Auto-generated task note based on service history.,pending,,,True,,,
17,293,received,Inspect brake pads,Auto-generated task note based on service history.,completed,2025-08-23 10:58:50.293298,,True,,,
18,97,in_progress,Check tire pressure,Auto-generated task note based on service history.,in_progress,,,True,,,
19,236,complete,Final check,Auto-generated task note based on service history.,completed,2025-12-25 11:23:40.293298,,True,,,
20,424,inspecting,Check tire pressure,Auto-generated task note based on service history.,completed,2025-10-18 17:57:40.293298,,True,,,
21,485,inspecting,Clean interior,Auto-generated task note based on service history.,pending,,,True,,,
22,194,complete,Check fluid levels,Auto-generated task note based on service history.,completed,2026-03-18 22:46:00.293298,,True,,,
23,309,in_progress,Finalize quotation,Auto-generated task note based on service history.,completed,2026-03-20 10:21:58.293298,,True,,,
24,346,received,Test drive vehicle,Auto-generated task note based on service history.,pending,,,True,,,
25,456,in_progress,Final check,Auto-generated task note based on service history.,completed,2026-07-13 13:11:03.293298,,True,,,
26,325,received,Inspect brake pads,Auto-generated task note based on service history.,completed,2026-03-02 17:52:53.293298,,True,,,
27,282,in_progress,Test drive vehicle,Auto-generated task note based on service history.,in_progress,,,True,,,
28,481,quotation,Perform alignment,Auto-generated task note based on service history.,in_progress,,,True,,,
29,510,received,Test drive vehicle,Auto-generated task note based on service history.,pending,,,True,,,
30,324,complete,Clean interior,Auto-generated task note based on service history.,in_progress,,,True,,,
31,381,quotation,Check tire pressure,Auto-generated task note based on service history.,in_progress,,,True,,,
32,425,inspecting,Test drive vehicle,Auto-generated task note based on service history.,pending,,,True,,,
33,191,complete,Test drive vehicle,Auto-generated task note based on service history.,pending,,,True,,,
