id,name,address,contact_number,email,owner_id,operating_hours
1,Autokita,"7090 Rizal St., Taguig",09207860998,38038324@company.com,68,"{'friday': '8:00am-6:00pm', 'monday': '8:00am-6:00pm', 'sunday': 'closed', 'tuesday': '8:00am-6:00pm', 'saturday': '8:00am-6:00pm', 'thursday': '8:00am-6:00pm', 'wednesday': '8:00am-6:00pm'}"
2,ProServ,"7119 Taft St., Quezon City",09964234612,183a207d@company.com,150,"{'friday': '8:00am-6:00pm', 'monday': '8:00am-6:00pm', 'sunday': 'closed', 'tuesday': '8:00am-6:00pm', 'saturday': '8:00am-6:00pm', 'thursday': '8:00am-6:00pm', 'wednesday': '8:00am-6:00pm'}"
3,ProServ,"8995 Taft St., Taguig",09773032090,cde96573@company.com,1,"{'friday': '8:00am-6:00pm', 'monday': '8:00am-6:00pm', 'sunday': 'closed', 'tuesday': '8:00am-6:00pm', 'saturday': '8:00am-6:00pm', 'thursday': '8:00am-6:00pm', 'wednesday': '8:00am-6:00pm'}"
4,ProServ,"3433 Luna St., Makati City",09459158755,6e6ac1a0@company.com,416,"{'friday': '8:00am-6:00pm', 'monday': '8:00am-6:00pm', 'sunday': 'closed', 'tuesday': '8:00am-6:00pm', 'saturday': '8:00am-6:00pm', 'thursday': '8:00am-6:00pm', 'wednesday': '8:00am-6:00pm'}"
5,Autokita,"3049 Luna St., Manila",09775487681,35f16bdb@company.com,313,"{'friday': '8:00am-6:00pm', 'monday': '8:00am-6:00pm', 'sunday': 'closed', 'tuesday': '8:00am-6:00pm', 'saturday': '8:00am-6:00pm', 'thursday': '8:00am-6:00pm', 'wednesday': '8:00am-6:00pm'}"
6,Autokita,"812 Mabini St., Makati City",09709925947,b9663d37@company.com,115,"{'friday': '8:00am-6:00pm', 'monday': '8:00am-6:00pm', 'sunday': 'closed', 'tuesday': '8:00am-6:00pm', 'saturday': '8:00am-6:00pm', 'thursday': '8:00am-6:00pm', 'wednesday': '8:00am-6:00pm'}"
7,Autohin,"7027 Rizal St., Makati City",09927929520,052d8e97@company.com,121,"{'friday': '8:00am-6:00pm', 'monday': '8:00am-6:00pm', 'sunday': 'closed', 'tuesday': '8:00am-6:00pm', 'saturday': '8:00am-6:00pm', 'thursday': '8:00am-6:00pm', 'wednesday': '8:00am-6:00pm'}"
8,Autokita,"5010 Luna St., Manila",09516225813,ac4e6a02@company.com,17,"{'friday': '8:00am-6:00pm', 'monday': '8:00am-6:00pm', 'sunday': 'closed', 'tuesday': '8:00am-6:00pm', 'saturday': '8:00am-6:00pm', 'thursday': '8:00am-6:00pm', 'wednesday': '8:00am-6:00pm'}"
9,Autokita,"9802 Bonifacio St., Taguig",09952572484,c35ab44e@company.com,229,"{'friday': '8:00am-6:00pm', 'monday': '8:00am-6:00pm', 'sunday': 'closed', 'tuesday': '8:00am-6:00pm', 'saturday': '8:00am-6:00pm', 'thursday': '8:00am-6:00pm', 'wednesday': '8:00am-6:00pm'}"
10,ProServ,"8642 Taft St., Quezon City",09241592496,f1391aee@company.com,421,"{'friday': '8:00am-6:00pm', 'monday': '8:00am-6:00pm', 'sunday': 'closed', 'tuesday': '8:00am-6:00pm', 'saturday': '8:00am-6:00pm', 'thursday': '8:00am-6:00pm', 'wednesday': '8:00am-6:00pm'}"
