id,user_id,employees_id,action_performed,entity_type,entity_id,old_values,new_values,action_date
1,,334,updated,vehicles,468,"{""amount"": 579.26, ""record_id"": 468}","{""amount"": 3052.07, ""record_id"": 468}",2026-07-27 23:46:28.293298
2,216,,rejected,service_tickets,490,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-13 08:22:09.293298
3,,162,created,vehicles,237,,"{""id"": 237, ""is_active"": true}",2026-07-18 11:10:44.293298
4,349,,claimed,retention_offers,372,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 210}",2026-07-19 08:56:57.293298
5,220,,status_changed,job_orders,170,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-08-04 13:46:59.293298
6,,302,updated,job_orders,143,"{""amount"": 1197.97, ""record_id"": 143}","{""amount"": 2490.91, ""record_id"": 143}",2026-08-03 15:25:20.293298
7,,457,approved,service_tickets,261,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-13 17:16:46.293298
8,345,,updated,users,156,"{""amount"": 1154.47, ""record_id"": 156}","{""amount"": 1668.79, ""record_id"": 156}",2026-08-04 20:08:40.293298
9,,233,claimed,retention_offers,177,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 468}",2026-07-08 16:17:49.293298
10,27,,status_changed,job_orders,374,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-07-12 06:55:22.293298
11,389,,status_changed,job_orders,19,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-08-04 07:03:26.293298
12,,56,rejected,service_tickets,313,"{""status"": ""pending""}","{""status"": ""declined""}",2026-08-01 00:10:23.293298
13,,395,updated,vehicles,117,"{""amount"": 1439.98, ""record_id"": 117}","{""amount"": 3032.98, ""record_id"": 117}",2026-07-20 21:02:47.293298
14,188,,status_changed,job_orders,50,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-07-27 12:57:21.293298
15,,237,rejected,service_tickets,137,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-23 09:49:10.293298
16,488,,approved,service_tickets,39,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-22 04:45:15.293298
17,265,,deleted,job_orders,54,"{""id"": 54, ""is_active"": true}",,2026-07-30 21:00:40.293298
18,,136,logged_in,employees,136,,,2026-07-23 06:07:56.293298
19,,198,rejected,service_tickets,305,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-30 04:29:11.293298
20,,105,deleted,vehicles,166,"{""id"": 166, ""is_active"": true}",,2026-07-13 03:08:04.293298
21,,341,created,users,127,,"{""id"": 127, ""is_active"": true}",2026-07-07 07:37:22.293298
22,187,,approved,service_tickets,56,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-21 11:14:44.293298
23,,395,deleted,payments,67,"{""id"": 67, ""is_active"": true}",,2026-07-16 23:52:49.293298
24,,187,claimed,retention_offers,406,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 469}",2026-07-15 08:02:48.293298
25,167,,updated,payments,403,"{""amount"": 1174.90, ""record_id"": 403}","{""amount"": 2991.19, ""record_id"": 403}",2026-07-09 01:48:17.293298
26,,34,created,payments,216,,"{""id"": 216, ""is_active"": true}",2026-07-30 06:01:18.293298
27,,58,created,vehicles,434,,"{""id"": 434, ""is_active"": true}",2026-07-08 04:04:23.293298
28,,34,deleted,payments,54,"{""id"": 54, ""is_active"": true}",,2026-07-19 04:16:45.293298
29,,142,logged_in,employees,142,,,2026-07-30 12:39:57.293298
