id,customer_user_id,assigned_employee_id,reference_type,reference_id,session_status,started_at,last_activity_at
1,382,278,service_ticket,115,bot_handling,2025-05-28 02:35:41.312132,2025-06-10 02:35:41.312132
2,347,25,service_ticket,6,waiting_for_admin,2026-08-03 02:35:41.312132,2026-08-05 02:35:41.312132
3,92,194,service_ticket,,bot_handling,2026-03-28 02:35:41.312132,2026-04-04 02:35:41.312132
4,3,48,service_ticket,,waiting_for_admin,2025-07-26 02:35:41.312132,2025-08-05 02:35:41.312132
5,56,386,job_order,78,resolved,2026-04-30 02:35:41.312132,2026-05-08 02:35:41.312132
6,50,7,service_ticket,304,bot_handling,2025-10-02 02:35:41.312132,2025-10-10 02:35:41.312132
7,109,306,job_order,,waiting_for_admin,2026-05-31 02:35:41.312132,2026-06-14 02:35:41.312132
8,433,83,general,418,resolved,2026-04-12 02:35:41.312132,2026-04-18 02:35:41.312132
9,28,259,general,,bot_handling,2025-06-05 02:35:41.312132,2025-06-15 02:35:41.312132
10,40,115,general,144,waiting_for_admin,2026-01-22 02:35:41.312132,2026-02-04 02:35:41.312132
11,73,314,general,428,bot_handling,2025-11-03 02:35:41.312132,2025-11-12 02:35:41.312132
12,454,265,general,451,waiting_for_admin,2026-02-21 02:35:41.312132,2026-03-02 02:35:41.312132
13,467,218,job_order,205,waiting_for_admin,2025-04-12 02:35:41.312132,2025-04-20 02:35:41.312132
14,468,239,general,449,resolved,2025-10-08 02:35:41.312132,2025-10-15 02:35:41.312132
15,347,263,general,6,resolved,2026-07-30 02:35:41.312132,2026-08-09 02:35:41.312132
16,167,53,service_ticket,,admin_handling,2025-08-29 02:35:41.312132,2025-09-06 02:35:41.312132
17,478,143,service_ticket,39,bot_handling,2025-11-09 02:35:41.312132,2025-11-10 02:35:41.312132
18,426,9,service_ticket,,resolved,2025-06-19 02:35:41.312132,2025-07-02 02:35:41.312132
19,311,5,job_order,173,admin_handling,2025-04-17 02:35:41.312132,2025-04-28 02:35:41.312132
20,58,489,job_order,,bot_handling,2025-07-29 02:35:41.312132,2025-08-14 02:35:41.312132
