id,employee_id,shop_id,branch,location,rank,base_salary,commission_percent,jobs_capacity,color
1,2,4,Main Branch,Quezon City,Mid-Level,41071.31,6.56,2,#FF5733
2,3,7,Main Branch,Makati City,Mid-Level,34612.81,2.81,4,#3357FF
3,4,7,North Branch,Taguig,Lead,32148.15,1.92,2,#F0FF33
4,5,2,North Branch,Makati City,Mid-Level,41361.71,1.80,3,#3357FF
5,6,8,South Branch,Quezon City,Mid-Level,39294.19,1.00,1,#F0FF33
6,7,7,West Branch,Pasig City,Junior,42167.14,4.14,2,#33FF57
7,8,10,South Branch,Manila,Lead,42324.88,9.06,4,#3357FF
8,9,5,North Branch,Taguig,Mid-Level,39928.73,4.54,4,#F0FF33
9,10,5,North Branch,Makati City,Lead,28054.42,7.49,3,#33FFF0
10,11,1,East Branch,Quezon City,Junior,39410.89,5.37,3,#FF5733
11,12,7,East Branch,Manila,Junior,38589.28,4.04,1,#3357FF
12,13,4,West Branch,Pasig City,Junior,33536.62,1.75,1,#FF5733
13,14,6,North Branch,Taguig,Junior,34751.08,2.24,1,#33FF57
14,15,2,South Branch,Manila,Senior,17179.87,9.60,3,#F0FF33
15,16,8,West Branch,Quezon City,Mid-Level,38694.29,9.14,2,#33FFF0
16,17,7,Main Branch,Taguig,Mid-Level,33459.29,2.18,1,#33FF57
17,18,1,West Branch,Taguig,Junior,36316.74,3.72,3,#F033FF
18,19,7,East Branch,Taguig,Lead,38036.63,9.22,1,#33FF57
19,20,8,East Branch,Quezon City,Junior,39408.47,1.63,2,#33FF57
20,21,10,South Branch,Makati City,Lead,39801.49,6.76,2,#33FF57
21,22,5,North Branch,Manila,Lead,40982.34,6.55,1,#F033FF
22,23,10,North Branch,Manila,Senior,19751.90,6.28,4,#33FF57
23,24,3,North Branch,Quezon City,Lead,18576.83,5.83,4,#F0FF33
24,25,3,North Branch,Quezon City,Mid-Level,47637.29,1.20,1,#3357FF
25,26,6,East Branch,Taguig,Lead,35051.80,2.63,2,#F033FF
26,27,10,North Branch,Pasig City,Mid-Level,20774.10,3.79,2,#F033FF
27,28,10,West Branch,Quezon City,Lead,18333.71,6.26,2,#F0FF33
28,29,2,North Branch,Manila,Senior,25430.58,9.72,2,#FF5733
29,30,4,West Branch,Taguig,Senior,29226.44,9.74,2,#33FF57
30,31,5,Main Branch,Manila,Junior,38785.85,3.13,2,#F0FF33
31,32,10,West Branch,Taguig,Junior,30588.92,6.43,1,#33FFF0
32,33,9,North Branch,Manila,Lead,49951.90,3.59,4,#FF5733
33,34,1,Main Branch,Taguig,Senior,29606.78,3.21,1,#F0FF33
34,35,3,South Branch,Pasig City,Senior,19171.77,8.66,1,#F033FF
35,36,6,West Branch,Quezon City,Senior,36447.66,4.10,1,#33FFF0
36,37,10,East Branch,Quezon City,Junior,35674.71,9.05,3,#3357FF
37,38,8,North Branch,Taguig,Lead,33861.31,7.27,3,#F033FF
38,39,5,North Branch,Makati City,Mid-Level,31405.80,1.42,3,#FF5733
39,40,2,Main Branch,Manila,Junior,29266.79,6.67,3,#F033FF
40,41,8,North Branch,Manila,Junior,46610.99,9.34,1,#FF5733
41,42,1,North Branch,Manila,Lead,48901.83,3.00,2,#F033FF
42,43,7,West Branch,Pasig City,Mid-Level,28691.82,5.42,1,#F033FF
43,44,3,Main Branch,Makati City,Junior,29781.20,4.49,1,#FF5733
44,45,2,Main Branch,Manila,Junior,44163.44,3.55,4,#33FFF0
45,46,7,Main Branch,Taguig,Junior,20322.35,7.21,4,#33FFF0
46,47,10,Main Branch,Manila,Mid-Level,34071.81,9.47,4,#3357FF
47,48,6,Main Branch,Taguig,Junior,38189.63,2.68,1,#F033FF
48,49,5,South Branch,Pasig City,Junior,38457.52,3.26,1,#FF5733
49,50,10,West Branch,Taguig,Mid-Level,49918.18,4.24,2,#F033FF
50,51,6,Main Branch,Manila,Senior,25588.54,7.27,1,#F0FF33
51,52,6,West Branch,Quezon City,Senior,39325.91,6.33,3,#3357FF
52,53,6,Main Branch,Quezon City,Mid-Level,41744.46,7.82,2,#F0FF33
53,54,9,South Branch,Quezon City,Junior,16390.62,9.94,1,#33FFF0
54,55,3,East Branch,Quezon City,Senior,37808.10,5.50,3,#FF5733
55,56,4,South Branch,Quezon City,Junior,15756.79,9.25,3,#3357FF
56,57,3,West Branch,Manila,Mid-Level,19262.69,4.65,4,#3357FF
57,58,9,West Branch,Pasig City,Junior,28750.88,6.16,1,#F033FF
58,59,3,Main Branch,Manila,Senior,48611.50,3.56,4,#FF5733
59,60,8,Main Branch,Manila,Junior,32796.48,5.50,4,#33FF57
60,61,4,West Branch,Makati City,Mid-Level,24070.52,3.06,1,#F0FF33
61,62,5,North Branch,Taguig,Senior,27534.98,1.15,4,#3357FF
62,63,1,West Branch,Manila,Junior,46646.93,9.13,2,#33FFF0
63,64,1,Main Branch,Taguig,Lead,21977.69,3.19,1,#33FF57
64,65,3,North Branch,Pasig City,Lead,28135.14,8.86,3,#33FFF0
65,66,4,West Branch,Taguig,Lead,35744.42,1.29,1,#3357FF
66,67,8,East Branch,Makati City,Mid-Level,44106.67,4.55,2,#F0FF33
67,68,2,Main Branch,Pasig City,Lead,41781.84,6.20,2,#3357FF
68,69,4,East Branch,Makati City,Lead,17802.13,6.61,1,#33FFF0
69,70,7,West Branch,Makati City,Senior,45896.60,2.66,1,#33FFF0
