id,employee_id,query_category,context_vehicle_id,started_at
1,5,part_validation,614,2026-07-15 18:26:19.312132
2,464,technical_manual,,2025-10-10 04:18:13.312132
3,319,prescriptive_diagnosis,,2025-08-28 07:00:22.312132
4,30,technical_manual,413,2026-03-01 17:05:13.312132
5,127,part_validation,,2025-10-11 19:49:36.312132
6,194,prescriptive_diagnosis,,2026-03-01 12:23:52.312132
7,485,technical_manual,,2025-08-31 14:47:25.312132
8,340,technical_manual,185,2025-10-28 14:21:48.312132
9,358,technical_manual,,2026-05-27 13:56:16.312132
10,390,prescriptive_diagnosis,,2026-01-25 20:32:12.312132
11,245,part_validation,136,2026-06-19 13:26:59.312132
12,69,prescriptive_diagnosis,,2026-07-11 21:48:53.312132
13,218,technical_manual,,2026-04-30 22:37:32.312132
14,133,part_validation,361,2026-04-20 16:47:46.312132
15,52,part_validation,140,2025-12-01 11:13:10.312132
16,227,technical_manual,385,2026-07-04 08:32:47.312132
17,314,prescriptive_diagnosis,144,2026-05-26 01:10:12.312132
18,122,prescriptive_diagnosis,,2025-09-01 06:29:01.312132
19,172,prescriptive_diagnosis,,2026-05-23 00:43:59.312132
20,118,prescriptive_diagnosis,501,2025-12-23 17:47:10.312132
21,389,part_validation,714,2025-08-11 08:03:16.312132
22,289,prescriptive_diagnosis,,2026-06-18 15:21:03.312132
23,456,prescriptive_diagnosis,749,2026-03-14 04:31:14.312132
24,189,technical_manual,622,2026-05-12 03:03:09.312132
25,21,part_validation,49,2026-01-05 07:19:37.312132
26,128,part_validation,94,2026-03-19 19:27:10.312132
27,9,prescriptive_diagnosis,103,2026-05-17 05:05:02.312132
28,396,prescriptive_diagnosis,497,2025-08-29 05:35:56.312132
29,329,technical_manual,,2026-03-08 14:42:40.312132
30,480,prescriptive_diagnosis,,2025-12-28 04:51:20.312132
31,144,part_validation,891,2025-08-28 13:10:58.312132
32,121,part_validation,,2026-05-02 05:24:05.312132
33,140,prescriptive_diagnosis,101,2026-05-17 09:49:50.312132
34,193,technical_manual,,2026-06-05 20:34:31.312132
35,328,prescriptive_diagnosis,,2026-07-12 02:12:46.312132
36,244,part_validation,911,2026-02-08 10:20:33.312132
37,323,technical_manual,,2026-04-05 01:17:33.312132
38,435,technical_manual,803,2025-12-30 08:24:46.312132
39,213,prescriptive_diagnosis,,2025-11-29 11:07:41.312132
40,330,prescriptive_diagnosis,,2026-04-16 12:12:29.312132
41,484,part_validation,494,2026-03-21 07:44:41.312132
42,126,technical_manual,462,2026-06-12 04:32:53.312132
43,253,part_validation,,2026-05-06 00:17:04.312132
44,172,prescriptive_diagnosis,911,2025-12-27 22:57:32.312132
45,32,prescriptive_diagnosis,580,2026-02-09 06:48:03.312132
46,147,technical_manual,,2025-12-29 04:49:03.312132
47,426,part_validation,,2025-08-19 19:14:56.312132
48,386,prescriptive_diagnosis,483,2025-08-23 18:02:02.312132
49,360,prescriptive_diagnosis,548,2026-04-20 14:22:45.312132
50,128,prescriptive_diagnosis,833,2026-04-02 09:28:47.312132
51,227,part_validation,530,2026-06-04 09:18:28.312132
52,145,prescriptive_diagnosis,,2026-07-30 09:04:34.312132
53,76,prescriptive_diagnosis,676,2026-04-28 23:30:19.312132
54,205,part_validation,261,2025-11-14 14:44:54.312132
55,130,part_validation,,2026-01-16 01:26:16.312132
56,220,prescriptive_diagnosis,614,2025-09-18 11:34:28.312132
57,44,prescriptive_diagnosis,401,2026-03-12 04:35:58.312132
58,31,prescriptive_diagnosis,,2026-04-17 06:12:00.312132
59,450,technical_manual,741,2025-10-22 22:46:11.312132
60,214,part_validation,17,2025-08-31 17:40:32.312132
61,467,part_validation,,2025-10-11 12:08:01.312132
62,341,technical_manual,,2025-12-25 08:18:39.312132
63,16,part_validation,,2026-05-09 04:07:32.312132
64,189,prescriptive_diagnosis,818,2026-06-14 21:35:58.312132
65,383,technical_manual,452,2026-03-16 22:31:57.312132
66,395,technical_manual,,2025-12-22 10:31:07.312132
67,98,prescriptive_diagnosis,124,2026-01-15 11:59:44.312132
68,141,prescriptive_diagnosis,,2026-06-14 09:17:17.312132
69,392,technical_manual,643,2025-08-29 11:03:31.312132
70,111,part_validation,,2025-12-13 10:02:32.312132
71,431,prescriptive_diagnosis,,2026-05-08 11:57:50.312132
72,82,technical_manual,906,2026-06-20 09:22:01.312132
73,310,technical_manual,404,2026-01-24 17:43:02.312132
74,258,technical_manual,975,2026-05-17 10:02:29.312132
75,458,part_validation,,2026-05-02 17:36:54.312132
76,110,technical_manual,576,2025-12-20 00:25:15.312132
77,242,technical_manual,287,2026-07-29 10:22:48.312132
78,393,technical_manual,968,2025-12-18 07:09:50.312132
79,145,prescriptive_diagnosis,953,2026-05-24 17:12:36.312132
80,45,prescriptive_diagnosis,,2026-07-01 11:24:04.312132
81,252,prescriptive_diagnosis,,2025-09-29 15:11:46.312132
82,320,part_validation,968,2025-12-31 08:38:07.312132
83,353,part_validation,457,2026-07-21 02:53:16.312132
84,71,technical_manual,,2026-07-08 12:48:48.312132
85,479,prescriptive_diagnosis,,2025-12-31 01:13:29.312132
86,296,prescriptive_diagnosis,284,2026-05-29 12:43:54.312132
87,443,technical_manual,,2026-05-18 14:13:13.312132
88,52,part_validation,424,2026-07-15 17:45:58.312132
89,294,technical_manual,893,2025-11-12 11:13:23.312132
90,59,part_validation,462,2025-09-21 10:24:41.312132
91,301,technical_manual,759,2025-12-24 22:47:40.312132
92,256,technical_manual,558,2025-12-05 13:45:54.312132
93,182,technical_manual,,2025-12-21 23:50:52.312132
94,295,technical_manual,171,2026-06-19 17:05:21.312132
95,490,technical_manual,36,2025-12-28 13:22:57.312132
96,185,prescriptive_diagnosis,997,2026-07-20 07:10:48.312132
97,36,part_validation,573,2025-12-21 09:18:50.312132
98,101,prescriptive_diagnosis,687,2026-05-24 07:54:12.312132
99,98,part_validation,,2025-08-31 19:56:00.312132
100,62,part_validation,,2026-04-01 13:56:56.312132
101,119,technical_manual,342,2026-06-11 02:07:39.312132
102,212,part_validation,699,2026-05-09 07:33:58.312132
103,448,part_validation,527,2026-01-17 13:35:51.312132
104,392,part_validation,377,2025-11-07 09:51:44.312132
105,319,technical_manual,497,2025-10-29 18:13:37.312132
106,162,prescriptive_diagnosis,,2026-01-31 20:02:54.312132
107,80,part_validation,458,2026-04-22 12:46:22.312132
108,91,prescriptive_diagnosis,813,2026-04-03 06:22:39.312132
109,104,part_validation,454,2026-05-11 15:38:39.312132
110,409,technical_manual,382,2026-05-06 17:22:27.312132
111,207,part_validation,81,2025-09-19 11:43:45.312132
112,290,part_validation,,2025-08-05 19:28:44.312132
113,498,prescriptive_diagnosis,,2026-04-14 14:45:38.312132
114,85,technical_manual,963,2026-03-08 12:13:49.312132
115,24,part_validation,804,2025-09-14 00:45:34.312132
116,135,part_validation,53,2026-05-06 17:35:04.312132
117,477,prescriptive_diagnosis,343,2025-12-23 12:30:47.312132
