id,vehicle_catalog_id,part_catalog_id,notes
1,1,17,For automatic transmissions only
2,3,145,
3,3,162,
4,3,174,
5,4,28,Requires professional installation
6,4,110,
7,4,192,
8,5,82,
9,6,131,Requires professional installation
10,7,30,
11,7,67,
12,8,49,
13,8,103,
14,9,41,Direct fit
15,9,44,Requires professional installation
16,9,66,
17,10,9,Direct fit
18,10,15,
19,10,144,
20,10,180,
21,11,59,Requires professional installation
22,11,69,Verify VIN before installation
23,11,135,
24,11,146,
25,12,128,
26,14,34,
27,15,144,
28,15,145,Verify VIN before installation
29,16,98,
30,16,103,
31,16,119,
32,16,173,Verify VIN before installation
33,17,71,Verify VIN before installation
34,18,106,
35,18,173,Direct fit
36,19,74,
37,19,167,
38,19,179,
39,20,26,Direct fit
40,20,81,
41,20,126,
42,20,192,
43,21,4,
44,21,15,
45,22,103,For automatic transmissions only
46,22,196,Front driver and passenger side
47,23,43,Requires professional installation
48,23,51,
49,23,85,
50,23,102,
51,23,132,
52,23,147,Direct fit
53,23,200,
54,24,34,Requires professional installation
55,25,56,
56,25,161,
57,26,8,
58,26,70,
59,26,75,For automatic transmissions only
60,27,46,
61,27,172,
62,29,3,
63,29,29,
64,29,49,For automatic transmissions only
65,29,99,
66,29,176,
67,30,133,
68,32,114,
69,33,71,For automatic transmissions only
70,34,87,
71,34,134,
72,34,166,
73,35,39,
74,35,117,
75,35,136,
76,36,95,
77,36,104,
78,38,7,
79,38,71,
80,39,42,
81,39,97,
82,39,123,
83,39,131,
84,41,75,
85,41,76,
86,41,121,
87,41,193,Front driver and passenger side
88,42,31,
89,42,40,Direct fit
90,42,147,
91,43,58,
92,44,120,
93,45,105,
94,46,112,
95,46,183,
96,46,200,
97,47,174,Requires professional installation
98,48,9,
99,48,87,
100,48,133,
101,48,169,
102,49,33,
103,51,13,
104,51,29,
105,51,76,
106,51,126,
107,51,149,
108,52,5,Requires professional installation
109,52,26,Front driver and passenger side
110,53,121,
111,53,181,
112,54,33,
113,54,115,
114,54,132,
115,55,44,Front driver and passenger side
116,55,67,
117,56,2,
118,56,27,
119,56,149,
120,56,185,
121,57,10,
122,57,102,
123,57,183,Requires professional installation
124,58,31,
125,58,169,
126,59,12,
127,59,95,
128,60,7,
129,60,139,
130,61,9,
131,61,31,
132,62,10,Verify VIN before installation
133,63,108,For automatic transmissions only
134,63,132,
135,63,169,
136,63,179,Requires professional installation
137,64,121,
138,65,43,Verify VIN before installation
139,65,93,
140,65,133,
141,67,4,
142,67,118,Requires professional installation
143,68,24,
144,68,39,Direct fit
145,68,40,
146,68,174,Front driver and passenger side
147,68,200,Requires professional installation
148,69,4,
149,69,24,
150,69,74,
151,69,84,Direct fit
152,69,115,
153,70,19,
154,70,42,
155,70,91,
156,70,140,
157,70,180,
158,71,2,Verify VIN before installation
159,71,31,
160,71,95,
161,71,190,
162,72,98,
163,72,179,Verify VIN before installation
164,73,17,
165,73,81,Requires professional installation
166,73,178,Direct fit
167,74,98,
168,75,138,
169,76,148,Front driver and passenger side
170,77,83,
171,77,154,For automatic transmissions only
172,78,26,
173,78,34,
174,78,36,
175,78,52,
176,78,53,For automatic transmissions only
177,78,91,Direct fit
178,79,2,Direct fit
179,79,71,
180,79,98,
181,79,196,
182,80,17,
183,80,53,
184,80,76,
185,80,159,
186,80,200,Direct fit
187,81,28,Verify VIN before installation
188,81,194,
189,82,25,For automatic transmissions only
190,82,55,
191,82,141,Requires professional installation
192,82,173,Requires professional installation
193,83,19,
194,83,95,
195,83,108,
196,84,61,For automatic transmissions only
197,84,162,Requires professional installation
198,85,63,
199,85,78,
200,85,86,
201,86,38,
202,86,127,Requires professional installation
203,86,184,For automatic transmissions only
204,87,86,
205,87,90,
206,88,199,Requires professional installation
207,89,89,Front driver and passenger side
208,89,162,
209,90,13,
210,90,64,Front driver and passenger side
211,90,70,Requires professional installation
212,90,112,Direct fit
213,90,152,
214,91,7,
215,91,94,
216,91,118,
217,91,142,
218,91,173,
219,92,48,Requires professional installation
220,92,56,
221,92,113,
222,92,158,
223,93,145,
224,93,172,
225,94,19,Direct fit
226,94,187,
227,95,46,
228,96,31,
229,96,66,
230,96,90,Direct fit
231,96,179,
232,97,7,
233,97,157,
234,97,182,
235,100,20,Front driver and passenger side
236,100,171,
237,100,196,
238,101,131,For automatic transmissions only
239,102,132,
240,102,187,
241,103,190,Requires professional installation
242,104,22,
243,104,63,For automatic transmissions only
244,105,108,Direct fit
245,106,121,Requires professional installation
246,107,44,
247,107,78,
248,107,114,
249,107,122,
250,107,138,
251,108,5,
252,108,68,
253,109,24,Front driver and passenger side
254,109,197,Direct fit
255,110,139,
256,110,153,
257,111,79,
258,111,142,Front driver and passenger side
259,111,165,
260,112,197,Requires professional installation
261,113,44,
262,113,110,Requires professional installation
263,114,7,
264,114,19,
265,114,101,
266,114,135,Requires professional installation
267,114,145,
268,115,113,Requires professional installation
269,115,143,
270,116,114,
271,116,168,
272,116,171,Requires professional installation
273,117,20,
274,117,195,
275,118,160,
276,119,16,
277,119,195,Requires professional installation
278,120,53,Verify VIN before installation
279,120,149,
280,120,183,Direct fit
281,121,9,
282,121,95,
283,121,149,
284,122,36,For automatic transmissions only
285,123,21,Direct fit
286,124,13,
287,124,38,Front driver and passenger side
288,124,86,
289,124,188,Requires professional installation
290,125,30,Requires professional installation
291,127,60,
292,128,145,Verify VIN before installation
293,128,182,Direct fit
294,129,23,Direct fit
295,130,29,
296,130,86,
297,130,199,
298,131,23,
299,131,142,
300,131,145,For automatic transmissions only
301,131,160,
302,131,162,
303,132,170,
304,133,105,
305,133,160,
306,133,161,
307,134,25,
308,134,92,
309,134,93,Requires professional installation
310,134,158,
311,134,184,
312,135,40,
313,135,42,
314,136,30,
315,136,155,
316,136,172,
317,137,40,Direct fit
318,137,117,
319,137,198,Requires professional installation
320,138,32,Requires professional installation
321,138,77,
322,138,162,Direct fit
323,138,194,Requires professional installation
324,139,12,Verify VIN before installation
325,139,20,
326,139,35,
327,139,49,
328,139,76,
329,140,136,
330,141,93,Direct fit
331,142,52,Requires professional installation
332,142,154,Verify VIN before installation
333,142,175,
334,143,119,
335,143,123,
336,144,131,
337,144,194,
338,145,14,
339,145,15,
340,145,63,
341,146,13,Direct fit
342,146,61,
343,146,122,
344,147,6,For automatic transmissions only
345,147,10,
346,147,78,
347,147,136,
348,147,180,
349,148,31,
350,148,146,Requires professional installation
351,149,135,
352,149,171,For automatic transmissions only
353,150,124,
354,150,177,
355,151,6,
356,151,24,
357,151,155,
358,151,158,
359,151,198,
360,152,91,Front driver and passenger side
361,152,160,
362,153,110,
363,153,154,Front driver and passenger side
364,154,98,
365,154,181,
366,155,1,
367,155,76,Front driver and passenger side
368,157,35,
369,157,143,
370,157,198,
371,158,23,
372,159,6,Requires professional installation
373,159,71,Direct fit
374,159,84,
375,159,138,Requires professional installation
376,159,141,
377,159,180,Front driver and passenger side
378,161,28,Requires professional installation
379,161,28,
380,161,134,
381,161,143,
382,161,185,Direct fit
383,162,147,
384,163,25,
385,163,55,
386,163,97,
387,163,151,
388,164,99,
389,164,100,Front driver and passenger side
390,165,131,
391,165,150,Verify VIN before installation
392,165,184,
393,166,47,
394,166,65,Direct fit
395,166,96,For automatic transmissions only
396,166,190,
397,167,36,
398,168,9,
399,168,64,
400,168,81,
401,169,5,
402,169,23,
403,169,92,
404,169,134,Requires professional installation
405,169,158,
406,170,16,
407,172,94,
408,172,118,
409,172,139,Verify VIN before installation
410,172,180,
411,173,43,
412,173,50,
413,173,72,Requires professional installation
414,173,96,
415,173,143,Verify VIN before installation
416,174,57,For automatic transmissions only
417,174,85,
418,174,135,
419,174,158,For automatic transmissions only
420,175,18,
421,175,37,
422,175,55,
423,175,65,
424,175,81,For automatic transmissions only
425,175,123,
426,177,23,
427,177,42,
428,178,57,Requires professional installation
429,178,117,
430,178,172,Requires professional installation
431,179,141,
432,179,147,
433,179,200,Verify VIN before installation
434,180,42,
435,180,84,Verify VIN before installation
436,180,145,
437,181,2,
438,182,63,
439,182,104,
440,182,123,
441,182,161,
442,182,168,Requires professional installation
443,183,81,
444,183,163,Verify VIN before installation
445,183,191,
446,184,97,
447,184,102,Direct fit
448,185,19,
449,185,69,
450,185,127,
451,186,64,
452,186,104,
453,187,40,
454,187,47,For automatic transmissions only
455,187,63,Front driver and passenger side
456,187,93,Verify VIN before installation
457,187,118,
458,187,135,
459,188,41,
460,188,94,
461,188,166,Requires professional installation
462,188,189,
463,189,28,
464,189,31,
465,189,89,
466,189,137,Direct fit
467,190,16,
468,190,110,Verify VIN before installation
469,191,99,
470,192,173,
471,193,8,For automatic transmissions only
472,193,168,
473,194,13,
474,194,40,
475,194,152,
476,194,178,Front driver and passenger side
477,195,64,
478,195,175,
479,195,197,Requires professional installation
480,196,11,Direct fit
481,196,128,Direct fit
482,196,135,
483,196,153,
484,196,183,Front driver and passenger side
485,197,25,
486,198,38,Front driver and passenger side
487,198,58,Front driver and passenger side
488,198,62,
489,198,161,
490,198,166,
491,199,10,
492,199,23,Requires professional installation
493,199,173,For automatic transmissions only
494,199,186,
495,199,191,Verify VIN before installation
496,200,1,
497,200,102,
498,200,126,
