id,supplier_id,order_date,expected_delivery_date,actual_delivery_date,total_supplier_cost,status
1,6,2026-08-03 04:51:41.312132,2026-08-11 04:51:41.312132,2026-08-19 04:51:41.312132,34150.51,fulfilled
2,2,2026-06-12 18:07:14.312132,2026-06-14 18:07:14.312132,,6451.45,drafting
3,2,2026-06-16 00:35:32.312132,2026-06-18 00:35:32.312132,2026-06-23 00:35:32.312132,6591.09,fulfilled
4,10,2026-06-11 14:19:33.312132,2026-06-24 14:19:33.312132,,35368.23,drafting
5,9,2026-07-08 01:56:17.312132,2026-07-09 01:56:17.312132,,7742.47,drafting
6,5,2026-07-27 16:46:26.312132,2026-08-06 16:46:26.312132,2026-08-03 16:46:26.312132,15548.53,fulfilled
7,4,2026-05-27 23:53:16.312132,2026-06-06 23:53:16.312132,,49178.52,sent
8,10,2026-07-03 00:29:47.312132,2026-07-07 00:29:47.312132,,40080.66,drafting
9,10,2026-07-09 11:17:31.312132,2026-07-19 11:17:31.312132,2026-07-11 11:17:31.312132,44420.70,fulfilled
10,3,2026-06-13 22:30:57.312132,2026-06-16 22:30:57.312132,2026-06-24 22:30:57.312132,49037.61,partially_received
11,5,2026-06-30 05:49:10.312132,2026-07-13 05:49:10.312132,,27160.16,sent
12,9,2026-07-22 10:58:18.312132,2026-08-01 10:58:18.312132,2026-07-24 10:58:18.312132,31674.84,fulfilled
13,9,2026-05-28 02:58:07.312132,2026-06-06 02:58:07.312132,2026-06-01 02:58:07.312132,36028.12,fulfilled
14,10,2026-05-22 16:15:12.312132,2026-05-29 16:15:12.312132,2026-06-07 16:15:12.312132,36126.95,fulfilled
15,3,2026-05-30 15:02:37.312132,2026-06-08 15:02:37.312132,,39997.51,drafting
16,5,2026-05-29 22:26:48.312132,2026-05-31 22:26:48.312132,2026-06-05 22:26:48.312132,49469.17,partially_received
17,6,2026-05-25 07:03:18.312132,2026-05-26 07:03:18.312132,,49704.96,cancelled
18,5,2026-05-21 00:16:35.312132,2026-05-24 00:16:35.312132,,13670.92,drafting
19,9,2026-05-08 23:48:05.312132,2026-05-17 23:48:05.312132,,12006.91,cancelled
20,3,2026-06-20 15:51:55.312132,2026-06-21 15:51:55.312132,2026-06-28 15:51:55.312132,11872.95,fulfilled
