id,user_id,promo_code,offer_type,discount_value,description,issue_date,expiration_date,is_claimed,claimed_on_job_order_id
1,13,FREE-1-D128,free_service,0.00,Come in for a complimentary multipoint vehicle inspection.,2026-06-20,2026-07-20,False,
2,229,,service_reminder,0.00,Friendly reminder: Your vehicle is due for its periodic maintenance.,2026-05-13,2026-06-12,False,
3,149,PCT-3-0DCE,percentage_discount,15.26,Enjoy a percentage off your total bill on your next visit.,2026-02-15,2026-03-17,False,
4,216,FREE-4-AD37,free_service,0.00,Come in for a complimentary multipoint vehicle inspection.,2026-03-22,2026-04-21,False,
5,257,PCT-5-B486,percentage_discount,24.15,Enjoy a percentage off your total bill on your next visit.,2026-06-20,2026-07-20,False,
6,440,FIX-6-6168,fixed_discount,1818.36,Use this voucher to get a fixed amount deducted from your total cost.,2026-06-15,2026-07-15,True,230
7,280,VIP-7-4CE9,loyalty_reward,0.00,Thank you for your continued trust! Enjoy this exclusive loyalty reward.,2026-04-21,2026-05-21,False,
8,457,VIP-8-0F3B,loyalty_reward,0.00,Thank you for your continued trust! Enjoy this exclusive loyalty reward.,2026-06-16,2026-07-16,False,
9,435,,service_reminder,0.00,Friendly reminder: Your vehicle is due for its periodic maintenance.,2026-03-20,2026-04-19,False,
10,39,FREE-10-09A3,free_service,0.00,Come in for a complimentary multipoint vehicle inspection.,2026-04-09,2026-05-09,False,
11,365,FREE-11-18EF,free_service,0.00,Come in for a complimentary multipoint vehicle inspection.,2026-07-12,2026-08-11,False,
12,45,,service_reminder,0.00,Friendly reminder: Your vehicle is due for its periodic maintenance.,2026-02-08,2026-03-10,False,
13,129,PCT-13-9F4C,percentage_discount,12.08,Enjoy a percentage off your total bill on your next visit.,2026-02-27,2026-03-29,False,
14,163,FREE-14-FC32,free_service,0.00,Come in for a complimentary multipoint vehicle inspection.,2026-06-02,2026-07-02,False,
15,493,FREE-15-6ECD,free_service,0.00,Come in for a complimentary multipoint vehicle inspection.,2026-03-20,2026-04-19,False,
16,109,PCT-16-69A5,percentage_discount,15.81,Enjoy a percentage off your total bill on your next visit.,2026-03-11,2026-04-10,False,
17,481,,service_reminder,0.00,Friendly reminder: Your vehicle is due for its periodic maintenance.,2026-05-16,2026-06-15,False,
18,337,,service_reminder,0.00,Friendly reminder: Your vehicle is due for its periodic maintenance.,2026-03-22,2026-04-21,False,
19,301,PCT-19-3D2D,percentage_discount,13.52,Enjoy a percentage off your total bill on your next visit.,2026-05-13,2026-06-12,False,
20,359,PCT-20-5B6D,percentage_discount,22.19,Enjoy a percentage off your total bill on your next visit.,2026-08-04,2026-09-03,False,
21,181,VIP-21-2ABD,loyalty_reward,0.00,Thank you for your continued trust! Enjoy this exclusive loyalty reward.,2026-05-18,2026-06-17,False,
22,45,FIX-22-683A,fixed_discount,1825.83,Use this voucher to get a fixed amount deducted from your total cost.,2026-03-21,2026-04-20,False,
23,71,VIP-23-ECAF,loyalty_reward,0.00,Thank you for your continued trust! Enjoy this exclusive loyalty reward.,2026-07-29,2026-08-28,True,215
24,128,,service_reminder,0.00,Friendly reminder: Your vehicle is due for its periodic maintenance.,2026-03-12,2026-04-11,False,
25,183,PCT-25-A7C2,percentage_discount,15.87,Enjoy a percentage off your total bill on your next visit.,2026-07-28,2026-08-27,False,
26,452,VIP-26-FE55,loyalty_reward,0.00,Thank you for your continued trust! Enjoy this exclusive loyalty reward.,2026-03-23,2026-04-22,False,
