id,name,address,contact_number,email,owner_id,operating_hours
1,Autohin,"7545 Mabini St., Pasig City",09361800841,1e1839a2@company.com,476,"{'friday': '8:00am-6:00pm', 'monday': '8:00am-6:00pm', 'sunday': 'closed', 'tuesday': '8:00am-6:00pm', 'saturday': '8:00am-6:00pm', 'thursday': '8:00am-6:00pm', 'wednesday': '8:00am-6:00pm'}"
2,ProServ,"5762 Luna St., Pasig City",09795486630,82c7d9d2@company.com,310,"{'friday': '8:00am-6:00pm', 'monday': '8:00am-6:00pm', 'sunday': 'closed', 'tuesday': '8:00am-6:00pm', 'saturday': '8:00am-6:00pm', 'thursday': '8:00am-6:00pm', 'wednesday': '8:00am-6:00pm'}"
3,ProServ,"7913 Mabini St., Pasig City",09797807558,987961be@company.com,384,"{'friday': '8:00am-6:00pm', 'monday': '8:00am-6:00pm', 'sunday': 'closed', 'tuesday': '8:00am-6:00pm', 'saturday': '8:00am-6:00pm', 'thursday': '8:00am-6:00pm', 'wednesday': '8:00am-6:00pm'}"
4,Autokita,"8139 Bonifacio St., Quezon City",09679530199,532cff28@company.com,319,"{'friday': '8:00am-6:00pm', 'monday': '8:00am-6:00pm', 'sunday': 'closed', 'tuesday': '8:00am-6:00pm', 'saturday': '8:00am-6:00pm', 'thursday': '8:00am-6:00pm', 'wednesday': '8:00am-6:00pm'}"
5,ProServ,"4950 Mabini St., Manila",09759938190,76e1a2b5@company.com,399,"{'friday': '8:00am-6:00pm', 'monday': '8:00am-6:00pm', 'sunday': 'closed', 'tuesday': '8:00am-6:00pm', 'saturday': '8:00am-6:00pm', 'thursday': '8:00am-6:00pm', 'wednesday': '8:00am-6:00pm'}"
6,ProServ,"2957 Luna St., Manila",09745147123,a9aa9a91@company.com,390,"{'friday': '8:00am-6:00pm', 'monday': '8:00am-6:00pm', 'sunday': 'closed', 'tuesday': '8:00am-6:00pm', 'saturday': '8:00am-6:00pm', 'thursday': '8:00am-6:00pm', 'wednesday': '8:00am-6:00pm'}"
7,ProServ,"2269 Bonifacio St., Pasig City",09453037635,f08b140d@company.com,46,"{'friday': '8:00am-6:00pm', 'monday': '8:00am-6:00pm', 'sunday': 'closed', 'tuesday': '8:00am-6:00pm', 'saturday': '8:00am-6:00pm', 'thursday': '8:00am-6:00pm', 'wednesday': '8:00am-6:00pm'}"
8,ProServ,"6670 Bonifacio St., Quezon City",09368435875,21870c3a@company.com,26,"{'friday': '8:00am-6:00pm', 'monday': '8:00am-6:00pm', 'sunday': 'closed', 'tuesday': '8:00am-6:00pm', 'saturday': '8:00am-6:00pm', 'thursday': '8:00am-6:00pm', 'wednesday': '8:00am-6:00pm'}"
9,Autokita,"666 Luna St., Manila",09814527137,5f52eb44@company.com,329,"{'friday': '8:00am-6:00pm', 'monday': '8:00am-6:00pm', 'sunday': 'closed', 'tuesday': '8:00am-6:00pm', 'saturday': '8:00am-6:00pm', 'thursday': '8:00am-6:00pm', 'wednesday': '8:00am-6:00pm'}"
10,Autokita,"7780 Taft St., Quezon City",09536359888,9e3f8d18@company.com,193,"{'friday': '8:00am-6:00pm', 'monday': '8:00am-6:00pm', 'sunday': 'closed', 'tuesday': '8:00am-6:00pm', 'saturday': '8:00am-6:00pm', 'thursday': '8:00am-6:00pm', 'wednesday': '8:00am-6:00pm'}"
