id,user_id,employees_id,action_performed,entity_type,entity_id,old_values,new_values,action_date
1,37,,updated,job_orders,177,"{""amount"": 749.86, ""record_id"": 177}","{""amount"": 2060.73, ""record_id"": 177}",2026-07-17 22:55:58.312132
2,78,,approved,service_tickets,407,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-25 23:14:49.312132
3,20,,created,vehicles,105,,"{""id"": 105, ""is_active"": true}",2026-08-03 09:52:26.312132
4,147,,approved,service_tickets,463,"{""status"": ""pending""}","{""status"": ""approved""}",2026-08-02 14:26:08.312132
5,415,,status_changed,job_orders,4,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-07-19 04:12:04.312132
6,23,,logged_in,users,23,,,2026-08-02 16:48:08.312132
7,487,,rejected,service_tickets,395,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-23 10:34:03.312132
8,,39,updated,vehicles,96,"{""amount"": 782.43, ""record_id"": 96}","{""amount"": 2849.85, ""record_id"": 96}",2026-07-06 15:52:41.312132
9,,405,status_changed,job_orders,301,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-07-08 19:09:52.312132
10,191,,created,payments,148,,"{""id"": 148, ""is_active"": true}",2026-07-08 12:54:30.312132
11,,366,created,vehicles,495,,"{""id"": 495, ""is_active"": true}",2026-07-14 03:55:09.312132
12,,271,rejected,service_tickets,44,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-09 19:21:40.312132
13,,467,rejected,service_tickets,398,"{""status"": ""pending""}","{""status"": ""declined""}",2026-08-03 15:35:10.312132
14,,370,status_changed,job_orders,383,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-07-11 04:59:54.312132
15,,400,status_changed,job_orders,323,"{""status"": ""inspecting""}","{""status"": ""in_progress""}",2026-08-01 08:30:56.312132
16,128,,rejected,service_tickets,25,"{""status"": ""pending""}","{""status"": ""declined""}",2026-07-07 21:30:39.312132
17,,291,deleted,vehicles,272,"{""id"": 272, ""is_active"": true}",,2026-07-17 03:33:28.312132
18,,277,approved,service_tickets,326,"{""status"": ""pending""}","{""status"": ""approved""}",2026-07-13 04:48:37.312132
19,,205,created,job_orders,312,,"{""id"": 312, ""is_active"": true}",2026-07-21 08:50:09.312132
20,,123,claimed,retention_offers,119,"{""is_claimed"": false}","{""is_claimed"": true, ""claimed_on_job_order_id"": 270}",2026-08-02 08:46:17.312132
