id,user_id,vin,plate_number,vehicle_model,vehicle_year,mileage,vehicle_type
1,304,3E7367F2330000001,MIN-0001,Hyundai Accent,2026,14724.00,Sedan
2,339,CFCEA72D4C0000002,BAZ-0002,Toyota Vios,2020,10372.00,SUV
3,23,D8B1FA3B740000003,EIO-0003,Honda Civic,2012,12521.00,Hatchback
4,416,3E4838179F0000004,YEJ-0004,Honda CR-V,2021,4724.00,Crossover
5,115,E651E1E36C0000005,VTH-0005,Ford Ranger,2022,11917.00,SUV
6,69,E72263BD940000006,YLN-0006,Toyota Fortuner,2011,13931.00,Pickup
7,195,CC1B4430E20000007,FUJ-0007,Honda CR-V,2016,14099.00,SUV
8,230,906719D86C0000008,QTR-0008,Nissan Navara,2018,10231.00,Sedan
9,72,F90B46455B0000009,SXS-0009,Suzuki Ertiga,2017,3210.00,Sedan
10,286,8E88A69BC10000010,HRT-0010,Honda Civic,2026,12683.00,Crossover
11,500,8503F299A40000011,HQY-0011,Suzuki Ertiga,2025,11952.00,Hatchback
12,314,2582E3E88C0000012,PSN-0012,Mitsubishi Montero Sport,2024,5190.00,Pickup
13,188,E559068F440000013,YKJ-0013,Toyota Fortuner,2012,13406.00,Crossover
14,441,A4491ADF980000014,ZZK-0014,Isuzu D-Max,2020,8975.00,Hatchback
15,442,61AC8C89390000015,GKC-0015,Suzuki Ertiga,2025,10587.00,Sedan
16,314,0CD9D954750000016,QYY-0016,Nissan Navara,2016,11438.00,Pickup
17,494,4750338E930000017,NLE-0017,Toyota Vios,2023,5645.00,SUV
18,403,9B861F71C90000018,JRD-0018,Honda Civic,2015,10513.00,SUV
19,222,7D4A6D7B010000019,JZR-0019,Hyundai Accent,2021,14484.00,Crossover
20,195,CF3693D4280000020,DAQ-0020,Isuzu D-Max,2024,3454.00,Crossover
21,332,8CBBFBC7920000021,VUX-0021,Mitsubishi Montero Sport,2025,1711.00,Sedan
22,312,1ADBA3754E0000022,SCZ-0022,Isuzu D-Max,2018,13371.00,Sedan
23,194,49BFB21B270000023,ELI-0023,Ford Ranger,2015,14512.00,Sedan
24,143,E74E28A6FA0000024,EZK-0024,Suzuki Ertiga,2016,1424.00,Van
25,429,41DE82CE5E0000025,ZKE-0025,Mitsubishi Montero Sport,2016,7141.00,Pickup
26,36,AA3ADCDA880000026,JJY-0026,Hyundai Accent,2013,13067.00,Crossover
27,5,CCE3026AD30000027,ANP-0027,Honda CR-V,2011,4860.00,Crossover
28,358,F6443209A40000028,UAJ-0028,Isuzu D-Max,2020,11885.00,SUV
29,83,2B3FCA4CE60000029,TTR-0029,Suzuki Ertiga,2024,5790.00,Pickup
30,473,E6071B54550000030,TCI-0030,Hyundai Accent,2014,9526.00,Pickup
31,470,950B7453F80000031,MZJ-0031,Mitsubishi Montero Sport,2010,4889.00,Pickup
32,470,02EE1516600000032,TFA-0032,Honda CR-V,2016,6207.00,Hatchback
33,391,C81BFCD8E70000033,XRA-0033,Honda CR-V,2018,3071.00,SUV
34,225,705B8D30A60000034,MQQ-0034,Mitsubishi Montero Sport,2025,13873.00,SUV
35,85,FD0F7EA6250000035,OXM-0035,Toyota Vios,2015,5629.00,Crossover
36,116,BF6C949B490000036,TXV-0036,Nissan Navara,2022,5314.00,Sedan
37,291,57250F4AD90000037,RHD-0037,Honda Civic,2021,11253.00,Van
38,421,11A0AE99F20000038,YNU-0038,Honda Civic,2020,2936.00,Sedan
39,398,B24906C0250000039,XAV-0039,Mitsubishi Montero Sport,2015,5064.00,Van
40,155,F774ABFC910000040,STC-0040,Mitsubishi Montero Sport,2022,1928.00,SUV
41,475,B8CC4D62680000041,CBW-0041,Isuzu D-Max,2023,10971.00,Pickup
42,146,FD2566D6470000042,MWQ-0042,Honda Civic,2022,3661.00,Hatchback
43,497,C38815D90F0000043,NIT-0043,Ford Ranger,2013,9925.00,Hatchback
44,202,5F38FD1E5D0000044,FME-0044,Honda Civic,2023,1963.00,Crossover
45,494,BEE0A4E1D60000045,MST-0045,Nissan Navara,2015,11778.00,Sedan
46,98,D2FEC21A090000046,JRB-0046,Honda Civic,2021,13220.00,Crossover
47,326,D72CFACDA80000047,CGY-0047,Nissan Navara,2013,13332.00,SUV
48,211,D34EEF0D450000048,EJL-0048,Suzuki Ertiga,2012,4560.00,SUV
49,228,C2DB31CAEC0000049,FON-0049,Honda CR-V,2022,12039.00,Van
50,362,57283F4C6C0000050,UOV-0050,Isuzu D-Max,2017,5398.00,Sedan
51,59,8DF3A4B5140000051,MCF-0051,Mitsubishi Montero Sport,2016,3179.00,SUV
52,486,B0595E05400000052,KSA-0052,Toyota Vios,2016,11753.00,SUV
53,481,302D0A86970000053,CXO-0053,Honda Civic,2014,9324.00,Sedan
54,348,0490B54BBB0000054,LSZ-0054,Toyota Vios,2015,7463.00,SUV
55,205,B7FC6F80A60000055,GED-0055,Hyundai Accent,2015,7948.00,Crossover
56,280,6C27CF7AE10000056,GEQ-0056,Mitsubishi Montero Sport,2026,3164.00,Hatchback
57,256,C735B572900000057,ADT-0057,Suzuki Ertiga,2022,1643.00,Hatchback
58,496,622F0B8AE30000058,LDW-0058,Nissan Navara,2019,12077.00,Pickup
59,258,5B66F82B7C0000059,XDG-0059,Ford Ranger,2010,4046.00,Pickup
60,292,526899EE4D0000060,CNN-0060,Honda CR-V,2025,12380.00,Van
61,489,63336555080000061,YQK-0061,Nissan Navara,2024,8185.00,Sedan
62,76,97D93E56C20000062,OPI-0062,Isuzu D-Max,2013,3698.00,Hatchback
63,338,BF1E5A588F0000063,HBP-0063,Toyota Fortuner,2014,1778.00,Sedan
64,230,330495DAA20000064,KVS-0064,Mitsubishi Montero Sport,2010,11670.00,Van
65,326,14F0BEB23C0000065,PZR-0065,Toyota Fortuner,2012,7449.00,Hatchback
66,120,126C2F4C3E0000066,UCS-0066,Honda Civic,2021,12856.00,Hatchback
67,404,E2ADB0DB1E0000067,JAX-0067,Nissan Navara,2017,1478.00,Sedan
68,374,6E92897B6E0000068,NFU-0068,Mitsubishi Montero Sport,2015,4340.00,Pickup
69,477,9015FC73070000069,ZVD-0069,Isuzu D-Max,2024,13743.00,Crossover
70,242,3D07BE95E20000070,UYK-0070,Suzuki Ertiga,2018,1854.00,Crossover
71,400,0E13A6B7700000071,ZXW-0071,Hyundai Accent,2018,6159.00,Sedan
72,380,992B45AD830000072,GSL-0072,Suzuki Ertiga,2015,7095.00,SUV
73,496,D7C3DBA6930000073,GWC-0073,Toyota Fortuner,2014,1681.00,Crossover
74,262,C2A4BABFF90000074,KXJ-0074,Isuzu D-Max,2023,10545.00,Van
75,252,A3790621100000075,VQP-0075,Hyundai Accent,2016,10806.00,Sedan
76,31,1277F8AB640000076,NSE-0076,Toyota Fortuner,2013,6358.00,SUV
77,133,D718BB37A40000077,LLV-0077,Isuzu D-Max,2021,4853.00,Pickup
78,222,8153AF43E90000078,WMD-0078,Mitsubishi Montero Sport,2022,5983.00,Crossover
79,193,EF5D8019E50000079,KAH-0079,Mitsubishi Montero Sport,2025,10104.00,SUV
80,296,81EB067CF60000080,LRV-0080,Nissan Navara,2012,9817.00,Hatchback
81,399,04E1D9287D0000081,REK-0081,Mitsubishi Montero Sport,2026,6389.00,Crossover
82,414,99F56812660000082,LVN-0082,Isuzu D-Max,2016,7505.00,SUV
83,208,FE62B919930000083,SXC-0083,Nissan Navara,2013,4860.00,SUV
84,158,6E26CA641D0000084,SRX-0084,Honda CR-V,2015,4632.00,Crossover
85,473,9D011EC5590000085,QIJ-0085,Hyundai Accent,2012,9774.00,SUV
86,336,92CECC271E0000086,ZZI-0086,Suzuki Ertiga,2025,13433.00,Sedan
87,458,A5E1A8B7DE0000087,PVU-0087,Mitsubishi Montero Sport,2018,14246.00,SUV
88,169,A7B8A8089D0000088,WQS-0088,Honda CR-V,2011,12108.00,Sedan
89,59,EFBDDA0A4F0000089,QYJ-0089,Toyota Vios,2022,6912.00,Hatchback
90,422,F13620F6D80000090,ZIT-0090,Ford Ranger,2020,14736.00,Hatchback
91,154,5A9DF8AA2C0000091,LEI-0091,Suzuki Ertiga,2012,12949.00,Sedan
92,319,E0242B1EA60000092,MZT-0092,Mitsubishi Montero Sport,2011,12901.00,Sedan
93,237,BC45E87ACC0000093,FCM-0093,Honda CR-V,2017,6810.00,Van
94,60,DFC91182A20000094,HSW-0094,Nissan Navara,2025,6539.00,SUV
95,90,A2355C3F2E0000095,AKK-0095,Mitsubishi Montero Sport,2024,2136.00,SUV
