id,job_order_id,job_order_service_id,purchase_order_id,status,part_number,description,quantity,retail_unit_price,total_retail_amount,supplier_unit_cost,is_oem,tier
1,1,2,,received,,Synchronizer Gear,1,6000.00,6000.00,4200.00,false,replacement
2,1,2,,received,,Third Gear,1,6000.00,6000.00,4200.00,false,replacement
3,1,2,,received,,"Shaft Fork, Third Gear",1,6500.00,6500.00,4550.00,false,replacement
4,1,2,,received,,Gear / Differential Oil,5,650.00,3250.00,455.00,false,standard
5,2,3,,received,,Pressure Plate,1,3500.00,3500.00,2450.00,false,replacement
6,2,3,,received,,Clutch Disc,1,4200.00,4200.00,2940.00,false,replacement
7,2,3,,received,,Release Brng.,1,1200.00,1200.00,840.00,false,replacement
8,4,,,received,,Timing Chain,1,13500.00,13500.00,9450.00,false,replacement
9,4,,,received,,Injector Damper,1,350.00,350.00,245.00,false,replacement
10,4,,,received,,Crankshaft Pulley,1,3500.00,3500.00,2450.00,false,replacement
11,4,,,received,,Tensioner,1,2500.00,2500.00,1750.00,false,replacement
12,4,,,received,,Valve Cover Gasket,1,1800.00,1800.00,1260.00,false,replacement
13,5,8,,received,,Valve Seal,16,120.00,1920.00,84.00,false,replacement
14,5,8,,received,,Cylinder Head Gasket,1,1800.00,1800.00,1260.00,false,replacement
15,5,8,,received,,Engine Coolant,8,175.00,1400.00,122.50,false,standard
16,5,8,,received,,Rack and Pinion Kit,1,3500.00,3500.00,2450.00,false,replacement
17,5,8,,received,,Steering Pump Kit,1,1200.00,1200.00,840.00,false,replacement
18,5,8,,received,,Sealing Fluid,1,450.00,450.00,315.00,false,replacement
19,6,11,,received,,Silicone,1,250.00,250.00,175.00,false,replacement
20,7,13,,received,,Aircon Parts,1,21600.00,21600.00,15120.00,false,replacement
21,7,13,,received,,Mechanical Parts,1,71000.00,71000.00,49700.00,false,replacement
22,8,15,,received,,Carbon Brush,1,1000.00,1000.00,700.00,false,replacement
23,8,15,,received,,Solenoid Switch,1,2200.00,2200.00,1540.00,false,replacement
24,9,16,,received,,Intercooler Hose (oil),1,6800.00,6800.00,4760.00,false,replacement
25,10,17,,received,,Timing Belt,1,3000.00,3000.00,2100.00,false,replacement
26,10,17,,received,,Tensioner Timing Belt,1,3300.00,3300.00,2310.00,false,replacement
27,10,17,,received,,Tensioner Adjuster,1,2450.00,2450.00,1715.00,false,replacement
