id,job_order_id,service_id,description_of_work,estimated_duration,actual_duration,estimated_hours,actual_hours,estimated_amount,actual_amount
1,1,36,Down Clutch / Pulldown Transmission,04:30:00,04:37:48,4.50,4.63,6000,6000
2,1,54,General Engine Overhaul,23:59:59,23:59:59,24.00,25.86,6000,6000
3,2,36,Down Clutch / Pulldown Transmission,04:30:00,05:19:48,4.50,5.33,4000,4000
4,3,36,Down Clutch / Pulldown Transmission,04:30:00,05:16:12,4.50,5.27,1800,1800
5,5,53,Top Overhaul,14:00:00,14:27:36,14.00,14.46,12000,12000
6,5,35,Power Steering Pump Overhaul / Replacement,02:00:00,01:45:36,2.00,1.76,1500,1500
7,5,18,Wheel Alignment,01:00:00,01:03:36,1.00,1.06,800,800
8,5,26,Overhaul / Replace Steering Rack & Pinion,04:00:00,03:36:36,4.00,3.61,3500,3500
9,6,49,Replace Timing Belt / Chain,04:00:00,03:50:24,4.00,3.84,3500,3500
10,6,22,Replace Suspension Bushing,02:30:00,02:27:36,2.50,2.46,1500,1500
11,6,21,Replace Shock Absorbers,02:00:00,02:00:00,2.00,2.00,2000,2000
12,7,37,Air Conditioning Cleaning & Freon Charge,03:00:00,02:59:24,3.00,2.99,7000,7000
13,7,58,General Mechanical Inspection & Check-Up,00:30:00,00:32:24,0.50,0.54,21200,21200
14,8,58,General Mechanical Inspection & Check-Up,00:30:00,00:27:00,0.50,0.45,10000,10000
15,8,46,Starter Motor Repair / Replacement,01:30:00,01:40:48,1.50,1.68,2300,2300
16,9,40,Radiator Replacement / Repair,01:30:00,01:17:24,1.50,1.29,1000,1000
17,10,58,General Mechanical Inspection & Check-Up,00:30:00,00:34:12,0.50,0.57,7500,7500
18,11,36,Down Clutch / Pulldown Transmission,04:30:00,05:11:24,4.50,5.19,3500,3500
19,12,36,Down Clutch / Pulldown Transmission,04:30:00,04:46:12,4.50,4.77,3500,3500
20,13,22,Replace Suspension Bushing,02:30:00,03:05:24,2.50,3.09,1500,1500
21,13,20,Tire Rotation & Balancing,00:45:00,00:45:00,0.75,0.75,1500,1500
22,13,1,Change Oil,00:45:00,00:42:36,0.75,0.71,650,650
23,14,22,Replace Suspension Bushing,02:30:00,02:53:24,2.50,2.89,1500,1500
24,14,31,Replace Wheel Bearing,01:30:00,01:42:36,1.50,1.71,1800,1800
25,14,1,Change Oil,00:45:00,00:49:48,0.75,0.83,650,650
26,14,14,Replace Brake Pads,01:00:00,00:53:24,1.00,0.89,1500,1500
27,15,58,General Mechanical Inspection & Check-Up,00:30:00,00:34:48,0.50,0.58,7500,7500
28,16,36,Down Clutch / Pulldown Transmission,04:30:00,04:43:12,4.50,4.72,3500,3500
29,17,1,Change Oil,00:45:00,00:49:12,0.75,0.82,650,650
30,18,18,Wheel Alignment,01:00:00,01:10:48,1.00,1.18,800,800
31,18,9,Cleaning EGR,03:30:00,03:09:00,3.50,3.15,4500,4500
32,18,16,Rotor Disc Refacing / Resurfacing,02:00:00,01:57:36,2.00,1.96,4000,4000
33,18,23,Replace Tie Rod End,01:00:00,00:58:12,1.00,0.97,1000,1000
34,18,15,Replace Brake Shoes,01:00:00,01:10:12,1.00,1.17,800,800
35,18,1,Change Oil,00:45:00,00:51:36,0.75,0.86,800,800
36,18,3,Replace Fuel Filter,00:45:00,00:38:24,0.75,0.64,550,550
37,18,13,Brake Service & Cleaning,01:15:00,01:06:36,1.25,1.11,500,500
38,18,7,Replace Fuel Pump,01:30:00,01:30:00,1.50,1.50,200,200
39,19,21,Replace Shock Absorbers,02:00:00,01:49:48,2.00,1.83,1800,1800
40,19,16,Rotor Disc Refacing / Resurfacing,02:00:00,01:55:12,2.00,1.92,4000,4000
41,19,21,Replace Shock Absorbers,02:00:00,02:11:24,2.00,2.19,600,600
42,20,43,Engine Diagnostics & Electrical Scan,00:45:00,00:47:24,0.75,0.79,1500,1500
43,20,7,Replace Fuel Pump,01:30:00,01:21:36,1.50,1.36,1300,1300
44,20,12,Replace Spark Plugs,00:30:00,00:28:48,0.50,0.48,200,200
45,23,54,General Engine Overhaul,23:59:59,23:59:59,24.00,29.48,18000,18000
46,23,1,Change Oil,00:45:00,00:45:00,0.75,0.75,800,800
47,24,18,Wheel Alignment,01:00:00,00:51:36,1.00,0.86,800,800
48,24,16,Rotor Disc Refacing / Resurfacing,02:00:00,01:59:24,2.00,1.99,4000,4000
49,24,9,Cleaning EGR,03:30:00,04:00:36,3.50,4.01,4500,4500
50,24,23,Replace Tie Rod End,01:00:00,01:04:48,1.00,1.08,1000,1000
51,24,15,Replace Brake Shoes,01:00:00,00:56:24,1.00,0.94,800,800
